"","lambda","mu","nu","q","seed","crown_age","cond","site_model","clock_model","tree_prior","gen_model","best_or_gen","nltt_1","nltt_2","nltt_3","nltt_4"
"38",0.2,0,1.5,0.15,2,6,1,"JC69","strict","yule","mbd","best",0.242849370307477,0.266401531814211,0.222669216925074,0.0779615696472288
"39",0.2,0,1.5,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.323013725585255,0.36952630576001,0.360665623388154,0.350669526629249
"40",0.2,0,1.5,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.242849370307477,0.264623198676358,0.256554881264905,0.125532238740123
"41",0.2,0,1.5,0.2,1,6,1,"JC69","strict","yule","bd","best",0.1550655835052,0.13982268671441,0.0984076590811812,0.0687564039932031
"42",0.2,0,1.5,0.2,1,6,1,"JC69","strict","birth_death","mbd","best",0.132130810679113,0.103851967398123,0.0792132910711694,0.0691776694229604
"43",0.2,0,1.5,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.1550655835052,0.0933779130934473,0.0600213629448914,0.0476524870472392
"44",0.2,0,1.5,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.132130810679113,0.179382797190651,0.177443422384565,0.175179856942528
"45",0.2,0,1.5,0.2,2,6,1,"JC69","strict","yule","bd","best",0.244340361131913,0.298667834823726,0.298675544165267,0.301642733029006
"46",0.2,0,1.5,0.2,2,6,1,"JC69","strict","yule","mbd","best",0.168417052329192,0.202663722301579,0.212125147626972,0.187407587195201
"47",0.2,0,1.5,0.2,2,6,1,"JC69","strict","birth_death","bd","gen",0.244340361131913,0.310016679741835,0.319729743696072,0.31928197144629
"48",0.2,0,1.5,0.2,2,6,1,"JC69","strict","birth_death","mbd","gen",0.168417052329192,0.228486934598262,0.230571360972437,0.232356043899361
"49",0.2,0,2,0.1,1,6,1,"JC69","strict","yule","bd","best",0.227097447049387,0.227783996385836,0.215244509511334,0.0959324232897144
"50",0.2,0,2,0.1,1,6,1,"JC69","strict","yule","mbd","best",0.202640862697535,0.233144069177346,0.241516904820996,0.185079675422336
"51",0.2,0,2,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.227097447049387,0.238830007704478,0.230605734385506,0.184607518995032
"52",0.2,0,2,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.202640862697535,0.2352155133872,0.2047082978971,0.184916953098342
"53",0.2,0,2,0.1,2,6,1,"GTR","strict","birth_death","bd","best",0.228421800549358,0.283066364028522,0.259067329123922,0.183623840080612
"54",0.2,0,2,0.1,2,6,1,"GTR","strict","birth_death","mbd","best",0.196725394716025,0.218742681165236,0.200136812580007,0.222015317105628
"55",0.2,0,2,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.228421800549358,0.289334219291751,0.298863680741237,0.295213665481409
"56",0.2,0,2,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.196725394716025,0.237204494949106,0.265546387420931,0.244591943608661
"57",0.2,0,2,0.15,1,6,1,"GTR","strict","birth_death","bd","best",0.123216659058059,0.169765640451615,0.171024475478986,0.172882332472009
"58",0.2,0,2,0.15,1,6,1,"JC69","strict","yule","mbd","best",0.123087677849536,0.174397087754845,0.170954146066831,0.169537526471076
"59",0.2,0,2,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.123216659058059,0.153584413721973,0.148683848836479,0.138671306538316
"60",0.2,0,2,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.123087677849536,0.149832949948228,0.141919369343017,0.159413128814586
"61",0.2,0,2,0.15,2,6,1,"GTR","strict","birth_death","bd","best",0.210526122839867,0.264945883350989,0.246507381696515,0.255014073275404
"62",0.2,0,2,0.15,2,6,1,"GTR","strict","birth_death","mbd","best",0.188247600120569,0.208359493339793,0.187151052870822,0.155593090993517
