"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file51e34130376a"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"1"	0	-1046.97029671775	-1628.87092992501	-1046.97029671775	-581.90063320726	-1046.97029671775	15.033523145197	0.832604750113815	0.384422965160347	0.841367540977071	0.123842323334141	0.446875580199801	-25.4434621328812	0.319749999813372	0.244883879803584	-555.911815204627	15.033523145197
"2"	1	-976.969207464013	-1045.84779893876	-976.969207464013	-68.8785914747433	-976.969207464013	15.0104047455098	0.845788638407885	0.122104955847235	0.939774829667762	0.0136693183374379	0.132078427751439	-21.4075794309651	0.167919688068367	0.476017503241605	-48.140547815732	15.0104047455098
"3"	2	-927.717195622147	-995.239541328108	-927.717195622147	-67.5223457059609	-927.717195622147	15.0104047455098	0.740711051529795	0.014089801030278	0.739070909960883	9.52891181889968e-05	0.013243445002405	-21.3283713519272	0.203513711224467	0.123270613075965	-48.140547815732	15.0104047455098
"4"	3	-923.573963867179	-959.895755551802	-923.573963867179	-36.3217916846227	-923.573963867179	15.0070332768974	0.635687672447116	0.00165159193461803	0.635920755611935	5.61618631575571e-07	0.00117828730653073	-20.5432240251185	0.141272245119223	0.127635650331424	-18.7446752121162	15.0070332768974
"5"	4	-837.821389996017	-875.08204412729	-837.821389996017	-37.2606541312727	-837.821389996017	15.0070332768974	0.724238696218689	0.00139330067447594	0.723979934787934	3.06668788695075e-07	0.000764727372956313	-21.5610603217688	0.0755171637823961	0.164771365501515	-18.7446752121162	15.0070332768974
"6"	5	-735.297480120343	-771.095708317452	-735.297480120343	-35.7982281971092	-735.297480120343	15.0070332768974	0.190806558526273	0.00229276656137037	0.190972551859328	1.45722259633666e-07	0.00199866626215557	-19.8669614240759	0.0613416852991849	0.447597349191775	-18.7446752121162	15.0070332768974
"7"	6	-733.040986213655	-771.010068835094	-733.040986213655	-37.9690826214387	-733.040986213655	15.0070332768974	0.150844435225606	0.161330098468052	0.15952488989341	0.000636492083719961	0.165124391240229	-19.6629783104221	0.0712208201234503	0.66666489717827	-18.7446752121162	15.0070332768974
"8"	7	-718.789220781554	-754.937127722515	-718.789220781554	-36.1479069409609	-718.789220781554	15.0070332768974	0.130669908803827	0.0377038392129147	0.124269467860793	2.96072842111872e-05	0.0426528222137816	-18.8347954941973	0.141667952289764	0.342053787254345	-18.7446752121162	15.0070332768974
"9"	8	-710.314773409775	-750.961230869936	-710.314773409775	-40.6464574601613	-710.314773409775	15.0070332768974	0.0959812441498269	0.0456523050754205	0.0924923698024207	1.30369524937225e-05	0.0383856495712644	-23.2244621452873	0.0582241362638211	0.770136167302474	-18.7446752121162	15.0070332768974
"10"	9	-688.80068963646	-727.636724658864	-688.80068963646	-38.8360350224049	-688.80068963646	15.0070332768974	0.054876480042378	0.0551438010785971	0.0575895179770611	8.6751455803123e-06	0.0521609760432895	-21.3022212876801	0.113275918411301	0.386353342578119	-18.7446752121162	15.0070332768974
