"","x"
"1",0.0473837432168469
"2",0.0592722059205166
"3",0.0450283564470083
"4",0.0832985865283278
"5",0.0537390227634464
"6",0.0918733824997009
"7",0.0452123016249348
"8",0.070168471045129
"9",0.145083173054123
"10",0.045783111273056
"11",0.0397612805136452
"12",0.0386980616778357
"13",0.0816301884147637
"14",0.0531473414279642
"15",0.0529851668172871
"16",0.0246897155119859
"17",0.0337744666251933
"18",0.0528976378705597
"19",0.0202153635723559
"20",0.0345112049315038
"21",0.0299187527103064
"22",0.0296421893053713
"23",0.0495259308871863
"24",0.0133841060396718
"25",0.015924468959119
"26",0.0199212455373357
"27",0.0277984046427486
"28",0.012218007579904
"29",0.0169144239976594
"30",0.0283526274636217
"31",0.0134071410838681
"32",0.025642261138559
"33",0.0362803293051145
"34",0.0295892434082098
"35",0.0225968589318817
"36",0.0398747788732148
"37",0.0343737798513734
"38",0.0305956169225167
"39",0.0414378752807938
"40",0.0410411413543963
"41",0.0428447689465725
"42",0.0549227740028939
"43",0.036259691916095
"44",0.0401359742711501
"45",0.0377397036430261
