"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file53c54680e14b"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"1"	0	-1047.3517009062	-1629.25233411346	-1047.3517009062	-581.90063320726	-1047.3517009062	15.033523145197	0.832604750113815	0.384422965160347	0.841367540977071	0.123842323334141	0.446875580199801	-25.4434621328812	0.319749999813372	0.244883879803584	-555.911815204627	15.033523145197
"2"	1	-1043.58460304194	-1621.95486121407	-1043.58460304194	-578.370258172125	-1043.58460304194	15.033523145197	0.68166388091919	0.362976588813915	0.622266634381923	0.0394233151242824	0.328598174553489	-21.99567344366	0.105803090784714	0.437656242980849	-555.911815204627	15.033523145197
"3"	2	-1024.29165771568	-1308.86982665717	-1024.29165771568	-284.578168941488	-1024.29165771568	15.023195248182	0.366935022362035	0.0957921322453431	0.364490714003288	0.000616217259207624	0.0691937778296973	-22.4073913910419	0.170925219330656	0.30988234894942	-263.02095236677	15.023195248182
"4"	3	-977.175161656983	-1254.03801064121	-977.175161656983	-276.862848984226	-977.175161656983	15.023195248182	0.657697029090605	0.0884408334948027	0.674006331597596	0.00324703069575868	0.0826577298877917	-14.748082165346	0.0631006560962938	0.873382648143231	-263.02095236677	15.023195248182
"5"	4	-935.127701962863	-961.793333539724	-935.127701962863	-26.6656315768612	-935.127701962863	14.9945334675517	0.633209083689428	0.130988168429029	0.620053550280951	0.00743603067115133	0.13323453729041	-18.3269029526868	0.11496933028224	0.815428394202937	-8.952671758152	14.9945334675517
"6"	5	-931.16760491066	-965.427838413332	-931.16760491066	-34.2602335026724	-931.16760491066	14.9945334675517	0.305503867297241	1.17019083983728	0.121619915096299	0.117489796425796	1.56662993161602	-22.1921758143366	0.056312315052576	0.617580816009169	-8.952671758152	14.9945334675517
"7"	6	-913.090809927872	-945.865195057457	-913.090809927872	-32.7743851295846	-913.090809927872	14.9945334675517	0.210679308801196	0.457811982545695	0.202329258096019	0.0153139516620877	0.553351642370262	-23.0037504881921	0.0741638097491022	0.793945385038138	-8.952671758152	14.9945334675517
"8"	7	-886.924347293426	-916.842994850688	-886.924347293426	-29.9186475572619	-886.924347293426	14.9945334675517	0.384566523162358	0.165132954806938	0.368508290377721	0.00263388125481914	0.146712768407369	-21.3838624030312	0.136343717457719	0.173116698572545	-8.952671758152	14.9945334675517
"9"	8	-819.503002538592	-849.740868138221	-819.503002538592	-30.2378655996286	-819.503002538592	14.9945334675517	0.304105468520935	0.112337014001972	0.323062579978112	0.00113064043842173	0.106580149954097	-22.0186938669645	0.116081002271994	0.569337558079134	-8.952671758152	14.9945334675517
"10"	9	-811.424129928856	-841.603788927443	-811.424129928856	-30.179658998587	-811.424129928856	14.9945334675517	0.256243012206149	0.28784176062928	0.206757366187661	0.00258621513192877	0.226344048774644	-21.0677366497431	0.069362518317751	0.543312723887261	-8.952671758152	14.9945334675517
"11"	10	-796.228543857987	-827.486981601638	-796.228543857987	-31.258437743651	-796.228543857987	14.9945334675517	0.103088893034762	0.269092445577526	0.102366855484952	0.000737944332718681	0.279693137056273	-22.2266208809234	0.0598620003052268	0.459828146154732	-8.952671758152	14.9945334675517
"12"	11	-788.462441906549	-819.283289686695	-788.462441906549	-30.820847780146	-788.462441906549	14.9945334675517	0.123244302969304	0.0772809598531329	0.11736924566467	7.08608574999371e-05	0.0709295693732988	-22.8656851412212	0.24596707770964	0.448024273472782	-8.952671758152	14.9945334675517
"13"	12	-777.692188326136	-806.041377917541	-777.692188326136	-28.3491895914049	-777.692188326136	14.9945334675517	0.050732086006179	0.156881275216355	0.0498907895588347	4.41490226895534e-05	0.129036105696785	-19.8596122013661	0.147557094041153	0.64828752209612	-8.952671758152	14.9945334675517
"14"	13	-768.715225899593	-799.551086532124	-768.715225899593	-30.8358606325317	-768.715225899593	14.9945334675517	0.0439722462212655	0.0543956163288988	0.0426490230382637	4.42941207637202e-06	0.0490226054721529	-23.1022988818846	0.0453825829060317	0.401430167196381	-8.952671758152	14.9945334675517
"15"	14	-757.219862298315	-785.974922354351	-757.219862298315	-28.755060056036	-757.219862298315	14.9945334675517	0.0351739725167961	0.00825024416221763	0.0351170139563008	8.75430196701678e-08	0.00843723120370663	-22.0106625120612	0.0837390810980122	0.434609642591639	-8.952671758152	14.9945334675517
"16"	15	-740.550071648068	-770.011493403128	-740.550071648068	-29.4614217550603	-740.550071648068	14.9945334675517	0.0915890095976206	0.0649994141602987	0.0903613321052559	2.37265055437764e-05	0.0537138596663065	-21.6180993081956	0.233659921494762	0.257664219044934	-8.952671758152	14.9945334675517
"17"	16	-725.081546527832	-752.320919650377	-725.081546527832	-27.2393731225447	-725.081546527832	14.9945334675517	0.144539722809405	0.0646375756029083	0.15295455813152	0.00010273723951848	0.0678575953921676	-19.3995682588052	0.0754272107872625	0.467826256687171	-8.952671758152	14.9945334675517
"18"	17	-724.890348101115	-751.691853304248	-724.890348101115	-26.8015052031327	-724.890348101115	14.9945334675517	0.122922199988959	0.0147066098113356	0.123465060741827	3.57571852521763e-06	0.0153426045761161	-19.7740655786381	0.0428650422474985	0.677941793423844	-8.952671758152	14.9945334675517
"19"	18	-722.816590090664	-749.473187867579	-722.816590090664	-26.6565977769149	-722.816590090664	14.9945334675517	0.263963369434636	0.119963715796348	0.277453057562569	0.000469621158000174	0.0828524047432539	-18.3872138299832	0.114428055739394	0.555331593220364	-8.952671758152	14.9945334675517
"20"	19	-722.12352946122	-747.524768733781	-722.12352946122	-25.401239272561	-722.12352946122	14.9945334675517	0.244806002204674	0.123248204162336	0.211771983587473	0.00098114669195326	0.133550053720424	-17.1108191125918	0.137151149178935	0.526352852000649	-8.952671758152	14.9945334675517
"21"	20	-720.862997271259	-734.541772892235	-720.862997271259	-13.6787756209764	-720.862997271259	14.9976374985105	0.230188664071192	0.0439725569742701	0.225066276076499	7.12279910760059e-05	0.0368682299387323	-18.2212236615899	0.152108217168061	0.409461479932198	3.19811010186956	14.9976374985105
"22"	21	-719.992877553671	-731.07672135263	-719.992877553671	-11.0838437989594	-719.992877553671	14.9976374985105	0.196230239267864	0.00421460822599611	0.19717363740851	7.47449578214747e-07	0.00440400678815092	-16.8100396793976	0.139804080943352	0.720076956686217	3.19811010186956	14.9976374985105
"23"	22	-714.882252457526	-730.056260825344	-714.882252457526	-15.174008367819	-714.882252457526	14.9976374985105	0.14193790777497	0.114125260668598	0.139511322827859	0.000222983992057665	0.104606197650267	-19.093664798642	0.107973986653149	0.939889697351725	3.19811010186956	14.9976374985105
"24"	23	-712.022865287602	-727.56532560434	-712.022865287602	-15.5424603167382	-712.022865287602	14.9976374985105	0.12833739436853	0.167503721631847	0.137816446541746	0.000655122811280015	0.199750709631058	-19.1456863682689	0.16847059973158	0.571269776890377	3.19811010186956	14.9976374985105
