"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file688a7d18513c"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-6739.28865934402	-6892.49325865312	-6739.28865934402	-153.204599309103	-6739.28865934402	14.9865415893131	1	1	0.968448412746886	0.970990843311197	1.20416078180385	0.25	0.25	0.25	0.25	-52.591876959281	0.448030290346046	0.639075075389507	-84.5755923630879	14.9865415893131	1.89362879989221
"2"	1	-6575.63972332234	-6722.62614606021	-6575.63972332234	-146.986422737874	-6575.63972332234	14.9865415893131	1	1	0.968448412746886	0.638830469073034	1.35451771730413	0.25	0.241981080520945	0.25	0.258018919479055	-46.6778453053158	0.407604782265088	0.785993137418212	-84.5755923630879	14.9865415893131	3.6419442815564
"3"	2	-6284.45369725379	-6440.5053454777	-6284.45369725379	-156.051648223912	-6284.45369725379	14.9865415893131	1	1	1.2793650624189	0.782777323630716	2.13594200059157	0.256286898075417	0.235694182445529	0.25	0.258018919479055	-54.7292013527188	0.160233215541686	0.844799345469304	-84.5755923630879	14.9865415893131	5.9549156751812
"4"	3	-6253.67490924014	-6356.14624202661	-6253.67490924014	-102.471332786469	-6253.67490924014	14.992096666164	1.76925599211741	0.880198127172684	1.12702693196804	0.761399179792062	4.02146860105545	0.265922201091341	0.239662127318234	0.240421669518344	0.253994002072081	-59.3646775970405	0.0985686950603561	0.940311130720872	-25.2425261155691	14.992096666164	10.5256034467182
"5"	4	-6219.42929338076	-6313.0974793492	-6219.42929338076	-93.6681859684433	-6219.42929338076	14.992096666164	3.23289103874676	0.686101734593324	1.78181951505253	0.761399179792062	4.02146860105545	0.265922201091341	0.248195244809514	0.240421669518344	0.245460884580801	-49.5882317780842	0.102028356920307	0.964392050244978	-25.2425261155691	14.992096666164	23.8963128884503
"6"	5	-6215.12552154378	-6308.60806324641	-6215.12552154378	-93.4825417026233	-6215.12552154378	14.992096666164	5.3511275563437	0.686101734593324	1.78181951505253	0.703052032848774	4.02146860105545	0.265922201091341	0.25626372318211	0.240272867045546	0.237541208681003	-48.793605117821	0.132408843935209	0.957593355507595	-25.2425261155691	14.992096666164	52.9080181719234
"7"	6	-6198.16022790384	-6293.24780985164	-6198.16022790384	-95.0875819478018	-6198.16022790384	14.992096666164	5.31478887729671	0.686101734593324	1.55881182764783	0.703052032848774	6.42024269772814	0.265922201091341	0.25626372318211	0.238420936619596	0.239393139106953	-49.8737831763417	0.112149171209159	0.949975726577296	-25.2425261155691	14.992096666164	40.940803659239
"8"	7	-6186.82213648303	-6294.94633814919	-6186.82213648303	-108.124201666158	-6186.82213648303	14.992096666164	2.58648111182397	0.686101734593324	1.9144019088215	0.703052032848774	4.80471257595901	0.265922201091341	0.25626372318211	0.238420936619596	0.239393139106953	-64.073571365981	0.0748477586842321	0.959524382142151	-25.2425261155691	14.992096666164	34.4980377751806
"9"	8	-6181.7229240599	-6271.48488148423	-6181.7229240599	-89.7619574243266	-6181.7229240599	14.9960772698274	1.25572175587569	1.38561334263994	1.7499251872923	0.415737092219932	3.42922064743735	0.268203563349608	0.258537863154417	0.238420936619596	0.234837636876379	-70.4531730088577	0.0700275983765997	0.963979058564061	-1.7050892576344	14.9960772698274	19.1769937172055
"10"	9	-6179.09447425232	-6279.64454901994	-6179.09447425232	-100.550074767622	-6179.09447425232	14.9960772698274	1.08014398213635	1.34731191615123	1.68688375950248	0.415737092219932	2.42347495281588	0.260910136608691	0.258537863154417	0.238420936619596	0.242131063617296	-81.901986830131	0.0451354715405745	0.931996021243444	-1.7050892576344	14.9960772698274	17.3835601620841
"11"	10	-6172.11389744023	-6286.66462678539	-6172.11389744023	-114.550729345166	-6172.11389744023	14.9960772698274	0.788960955285402	0.834911909767737	1.81428310298761	0.710156678354696	2.42347495281588	0.253238055728071	0.266209944035037	0.238420936619596	0.242131063617296	-96.0904093857572	0.0351012995015912	0.953569490846462	-1.7050892576344	14.9960772698274	16.6440564000997
"12"	11	-6163.94056463406	-6271.17751305174	-6163.94056463406	-107.236948417681	-6163.94056463406	14.9960772698274	0.676882239730121	0.834911909767737	1.81428310298761	0.710156678354696	3.28237973516931	0.253238055728071	0.266209944035037	0.238420936619596	0.242131063617296	-88.5593064605211	0.0421891218439373	0.920494191566484	-1.7050892576344	14.9960772698274	13.777764780431
"13"	12	-6127.31635700649	-6212.77894875212	-6127.31635700649	-85.4625917456289	-6127.31635700649	15.0011242961931	0.863193694014651	0.834911909767737	1.81428310298761	0.710156678354696	1.70125779471901	0.248499001199426	0.259864602315624	0.24476627833901	0.246870118145941	-74.3796719603243	0.14791146600678	0.863579379173314	5.35679578086869	15.0011242961931	11.0991286542142
"14"	13	-6120.94666622583	-6207.25979900768	-6120.94666622583	-86.3131327818523	-6120.94666622583	15.0011242961931	0.863193694014651	0.834911909767737	1.81428310298761	1.20348215812306	1.0023242050115	0.247154352393707	0.260554113684721	0.24476627833901	0.247525255582563	-75.2522534665666	0.111989754830976	0.921075827191143	5.35679578086869	15.0011242961931	4.33728976469962
"15"	14	-6103.8948571203	-6187.4641286171	-6103.8948571203	-83.5692714967998	-6103.8948571203	15.0011242961931	1.49210574724214	1.00394065457028	1.05614817968716	1.10265646588385	1.0023242050115	0.247154352393707	0.260554113684721	0.24476627833901	0.247525255582563	-72.4249932953166	0.103589487683924	0.916630045128974	5.35679578086869	15.0011242961931	5.74678560668178
"16"	15	-6094.19127609298	-6166.20857384374	-6094.19127609298	-72.0172977507587	-6094.19127609298	15.0011242961931	1.49210574724214	1.75409831778695	1.43774287566212	1.10265646588385	0.767249978354896	0.251883955296467	0.251730642006508	0.238312824449078	0.258072578247946	-60.2516159591283	0.128702524696932	0.9331554571746	5.35679578086869	15.0011242961931	9.2501306001606
