"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file6a6f7d485320"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-6437.39839581763	-6590.60299512674	-6437.39839581763	-153.204599309103	-6437.39839581763	14.9865415893131	1	1	0.968448412746886	0.970990843311197	1.20416078180385	0.25	0.25	0.25	0.25	-52.591876959281	0.448030290346046	0.639075075389507	-84.5755923630879	14.9865415893131	1.89362879989221
"2"	1	-6174.16570591609	-6251.67828005846	-6174.16570591609	-77.512574142375	-6174.16570591609	14.9944144469044	1.59857681556298	1	0.540725367944036	0.638830469073034	1.00568495249579	0.25	0.25	0.25	0.25	-52.5778762671523	0.268212195200647	0.867674790226468	-9.61038494636105	14.9944144469044	3.72020250066052
"3"	2	-6160.35382183133	-6218.31582807026	-6160.35382183133	-57.9620062389352	-6160.35382183133	14.9944144469044	1.59857681556298	1	0.540725367944036	0.638830469073034	1.61286380628003	0.251742373134547	0.248257626865453	0.25	0.25	-32.5178650972531	0.13483712292007	0.955632922642655	-9.61038494636105	14.9944144469044	12.065357363705
"4"	3	-6084.08126082285	-6112.64366288768	-6084.08126082285	-28.5624020648314	-6084.08126082285	14.9999724419956	1.59857681556298	0.927445922712646	0.759108225095112	0.638830469073034	1.55091259188777	0.260092180815101	0.248200654331185	0.240421669518344	0.25128549533537	-18.4915604243676	0.305253986938276	0.920801635277067	5.9884370239732	14.9999724419956	8.02401132253878
"5"	4	-6044.3582587397	-6093.16713944146	-6044.3582587397	-48.8088807017557	-6044.3582587397	14.9999724419956	1.59857681556298	0.412680124770412	0.622497752848702	0.896552105277849	1.55091259188777	0.258084017989629	0.248936625551258	0.239685698298271	0.253293658160842	-39.387452547408	0.234973322850769	0.89467919573931	5.9884370239732	14.9999724419956	40.8814831136331
"6"	5	-5982.05309438809	-6046.58882251469	-5982.05309438809	-64.5357281266066	-5982.05309438809	14.9999724419956	1.34488002615373	0.412680124770412	0.622497752848702	0.896552105277849	1.55091259188777	0.258084017989629	0.248936625551258	0.239685698298271	0.253293658160842	-55.3038381384541	0.26357517510721	0.865591426430469	5.9884370239732	14.9999724419956	21.1718693210967
"7"	6	-5911.43879622626	-5972.56365423271	-5911.43879622626	-61.1248580064534	-5911.43879622626	14.9999724419956	1.33574715404173	0.268320282436556	0.544587626090818	0.896552105277849	1.38328076181706	0.258084017989629	0.248936625551258	0.239685698298271	0.253293658160842	-52.5767854680628	0.214338605025447	0.857670911973437	5.9884370239732	14.9999724419956	12.1921796073298
"8"	7	-5890.57151702217	-5964.55587078518	-5890.57151702217	-73.984353763012	-5890.57151702217	14.9999724419956	1.01763289579032	0.323092663771825	0.544587626090818	0.896552105277849	1.98779415477355	0.258084017989629	0.248936625551258	0.242806296575967	0.250173059883146	-65.1424046082479	0.197789957932581	0.833059695301656	5.9884370239732	14.9999724419956	13.8513716424843
"9"	8	-5820.23395946586	-5877.7938803741	-5820.23395946586	-57.5599209082337	-5820.23395946586	14.9999724419956	0.665714464346911	0.323092663771825	0.544587626090818	0.479310546406261	1.98779415477355	0.258084017989629	0.253492127781832	0.242806296575967	0.245617557652572	-49.792940058701	0.186472245039657	0.892859538953565	5.9884370239732	14.9999724419956	7.74258664218538
"10"	9	-5744.76766220379	-5797.63391982185	-5744.76766220379	-52.8662576180614	-5744.76766220379	14.9999724419956	0.665714464346911	0.18752660085762	0.686146287568447	0.479310546406261	1.16235644508696	0.248621402261192	0.244148811114044	0.261612228972191	0.245617557652572	-45.9814990065182	0.392395142319729	0.758945622003045	5.9884370239732	14.9999724419956	2.9160862157475
