"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file62de10df788e"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"1"	0	-6591.27055944402	-10104.5570141667	-6591.27055944402	-3513.28645472268	-6591.27055944402	15.0832925821707	0.662699577720261	0.150386009250987	0.641406658719036	0.0102058133217123	0.149924779106102	-50.9477187914939	0.470255876601233	0.732644273988184	-3462.83830558557	15.0832925821707
"2"	1	-6298.10620276686	-9814.21313134623	-6298.10620276686	-3516.10692857937	-6298.10620276686	15.0832925821707	4.42218355967023	0.235819580721239	4.62742432112437	1.19108413801092	0.24497485264776	-53.3373696940504	0.406465570205616	0.566909809501686	-3462.83830558557	15.0832925821707
"3"	2	-6052.15134004322	-6374.7555699555	-6052.15134004322	-322.604229912273	-6052.15134004322	14.9766460583486	5.85580400058946	0.335802916430391	5.7481132181313	3.69047428017916	0.329961430044266	-55.5339612250195	0.28310463901577	0.898032299828032	-266.71447858178	14.9766460583486
"4"	3	-6024.81277251412	-6339.89180165745	-6024.81277251412	-315.079029143323	-6024.81277251412	14.9766460583486	2.39504180760857	0.142712184527165	2.49613843050384	0.116058617421875	0.139129365186686	-48.9083276921603	0.161138873116331	0.926633210602502	-266.71447858178	14.9766460583486
"5"	4	-5999.96583376826	-6332.5931956202	-5999.96583376826	-332.627361851934	-5999.96583376826	14.9766460583486	3.09605378615773	0.59240961797988	2.83724027620127	3.77986923574312	0.563578064265466	-64.6238149189166	0.0806158450691558	0.945593765035734	-266.71447858178	14.9766460583486
"6"	5	-5993.98311805207	-6336.40288883486	-5993.98311805207	-342.419770782793	-5993.98311805207	14.9766460583486	1.34491224087951	0.288665255512642	1.27312731670996	0.166724064984053	0.298147229056758	-75.542570008875	0.1033192541941	0.891864658474648	-266.71447858178	14.9766460583486
"7"	6	-5860.39652214131	-6206.88733377382	-5860.39652214131	-346.490811632507	-5860.39652214131	14.9766460583486	0.830883741410378	0.169209684089509	0.791632945244931	0.0167796082032649	0.15436605278702	-80.1723166766743	0.174929005913186	0.859320618781754	-266.71447858178	14.9766460583486
"8"	7	-5815.18414014659	-6162.53065858491	-5815.18414014659	-347.346518438322	-5815.18414014659	14.9766460583486	0.494745900353408	0.0117708505184628	0.495250246545478	3.20911640199313e-05	0.0114332814654568	-82.6674769000506	0.284072091945883	0.526783460474244	-266.71447858178	14.9766460583486
"9"	8	-5796.45761325491	-5986.17737248824	-5796.45761325491	-189.719759233328	-5796.45761325491	15.0147932716628	0.676853030545821	0.0783924538093707	0.680658802854877	0.00261744271476424	0.0761828709304727	-87.2761568820982	0.254452626491694	0.446105908363634	-103.431626498895	15.0147932716628
"10"	9	-5751.52736306967	-5938.10495899514	-5751.52736306967	-186.577595925461	-5751.52736306967	15.0147932716628	0.357184063463173	0.0265289127363541	0.355848990465541	8.66759162715631e-05	0.0261468168109591	-84.7686374974206	0.300010846174753	0.455481379818361	-103.431626498895	15.0147932716628
"11"	10	-5729.07269315763	-5917.39323640114	-5729.07269315763	-188.320543243508	-5729.07269315763	15.0147932716628	0.964559024967069	0.0221503367317077	0.968346194652756	0.000468400456407598	0.0224044827147325	-86.6060981543257	0.239040848896624	0.612712559110547	-103.431626498895	15.0147932716628
"12"	11	-5669.52536481667	-5846.8847337904	-5669.52536481667	-177.359368973725	-5669.52536481667	15.0147932716628	0.49067203360369	0.146688759539772	0.497669327526285	0.00609390602675361	0.157596461916629	-74.4484537534508	0.191022501168662	0.740765056577938	-103.431626498895	15.0147932716628
"13"	12	-5663.70996462556	-5805.03113300281	-5663.70996462556	-141.321168377251	-5663.70996462556	15.0113888852466	0.507673629781738	0.613948501286358	0.443447080269794	0.128526253916028	0.697032850861427	-81.0947217745252	0.27371570431552	0.582900888656524	-58.8645368339065	15.0113888852466
"14"	13	-5635.19944198487	-5773.47358203073	-5635.19944198487	-138.274140045863	-5635.19944198487	15.0113888852466	0.622726368451133	0.412857412038551	0.588469707027297	0.076040732991963	0.440209618588625	-78.7569385046544	0.451201402691992	0.57968056659041	-58.8645368339065	15.0113888852466
"15"	14	-5629.73738905396	-5760.7787447799	-5629.73738905396	-131.041355725944	-5629.73738905396	15.0113888852466	0.512065798907676	0.144752941281959	0.519232875934211	0.0051419087867774	0.139411765889325	-72.7087153256165	0.286448537037578	0.623886984713026	-58.8645368339065	15.0113888852466
"16"	15	-5628.65749293729	-5757.25630530621	-5628.65749293729	-128.598812368915	-5628.65749293729	15.0113888852466	0.532115047431325	0.214420757497174	0.502659073038969	0.0116471422970616	0.204283019843388	-69.902851136193	0.299404329179141	0.737635868706175	-58.8645368339065	15.0113888852466
"17"	16	-5605.73189765538	-5733.30889029882	-5605.73189765538	-127.576992643441	-5605.73189765538	15.0113888852466	0.53770986552473	0.140593875801703	0.507644202050572	0.0046581567110749	0.130951178102727	-69.2686647481644	0.275973496233902	0.739178366358027	-58.8645368339065	15.0113888852466
"18"	17	-5569.31470312788	-5699.32063470418	-5569.31470312788	-130.005931576294	-5569.31470312788	15.0113888852466	0.559067061216533	0.144237636962614	0.562197495356698	0.00634580689648771	0.144174326321674	-71.6762823902275	0.287894880310008	0.584916691454621	-58.8645368339065	15.0113888852466
"19"	18	-5561.57634096924	-5687.76971770536	-5561.57634096924	-126.193376736124	-5561.57634096924	15.0113888852466	1.02002915173524	0.165456776358207	1.03944715817192	0.0268817641456267	0.162105387721257	-67.7449766350691	0.138114748008737	0.899027936766812	-58.8645368339065	15.0113888852466
"20"	19	-5554.12447091094	-5669.24767917046	-5554.12447091094	-115.123208259525	-5554.12447091094	15.0113888852466	1.53915301922372	0.233704163938353	1.4846561466601	0.110300899687205	0.216616123553903	-56.3371059646352	0.176366393500546	0.904203976072417	-58.8645368339065	15.0113888852466
"21"	20	-5495.8603952867	-5567.55509695024	-5495.8603952867	-71.6947016635408	-5495.8603952867	15.0067139795907	1.05013894799792	0.035145830284781	1.05752890436972	0.00127217979524231	0.0339197557786661	-56.6153651490085	0.135020325217026	0.897605767933282	-16.5499442266625	15.0067139795907
"22"	21	-5442.82661229012	-5511.91778866171	-5442.82661229012	-69.0911763715896	-5442.82661229012	15.0067139795907	1.44882933572623	0.14876304726515	1.52797214616061	0.0399821477737808	0.137924005942899	-53.0500471335798	0.203377666676183	0.855796662629044	-16.5499442266625	15.0067139795907
"23"	22	-5437.42582930049	-5523.07514132175	-5437.42582930049	-85.6493120212619	-5437.42582930049	15.0067139795907	1.27963010241647	0.0375079251492922	1.28361481265337	0.0021182346908939	0.0360505392224611	-70.5338430936654	0.161020515969216	0.904145504504063	-16.5499442266625	15.0067139795907
