"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file60fc144cac37"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"1"	0	-7081.66550184486	-10594.9519565675	-7081.66550184486	-3513.28645472268	-7081.66550184486	15.0832925821707	0.662699577720261	0.150386009250987	0.641406658719036	0.0102058133217123	0.149924779106102	-50.9477187914939	0.470255876601233	0.732644273988184	-3462.83830558557	15.0832925821707
"2"	1	-6291.52084202511	-9801.60500015358	-6291.52084202511	-3510.08415812847	-6291.52084202511	15.0832925821707	4.97935670642313	0.23479327435252	5.43858916842048	1.73380606469011	0.256011826257349	-47.319294684336	0.342067474451313	0.775773911505773	-3462.83830558557	15.0832925821707
"3"	2	-6238.87132943631	-7459.42068937608	-6238.87132943631	-1220.54935993977	-6238.87132943631	15.0483921832274	15.4449427157969	0.156724949962186	16.3229509296876	5.17887333721415	0.142268953521613	-56.1004406268716	0.306115238758875	0.734310813440622	-1164.91288201355	15.0483921832274
"4"	3	-6236.61950215004	-7460.93608297666	-6236.61950215004	-1224.31658082662	-6236.61950215004	15.0483921832274	74.4570630065853	0.216578148741801	78.272727389003	240.198381147367	0.20268813387005	-59.5620161554619	0.26453807996895	0.675264653606107	-1164.91288201355	15.0483921832274
"5"	4	-6236.13746632635	-6471.3934226437	-6236.13746632635	-235.25595631735	-6236.13746632635	14.9808740444198	92.7448940975076	0.304057607864663	91.2275632375797	700.055388905315	0.276237266432999	-58.1167402478706	0.187311530651038	0.851434799966579	-176.912271682737	14.9808740444198
"6"	5	-6235.43867983605	-6488.95626032993	-6235.43867983605	-253.517580493875	-6235.43867983605	14.9808740444198	123.005225265358	0.0406585817944251	125.695872933776	27.0217993590283	0.0418787992642103	-77.994399362392	0.140871950086147	0.747688863559848	-176.912271682737	14.9808740444198
"7"	6	-6229.03534669197	-6489.24788334567	-6229.03534669197	-260.212536653708	-6229.03534669197	14.9808740444198	85.5843087970296	0.0439718247014743	86.1180233016545	13.8378202740362	0.043418609579105	-84.6446124942434	0.264232742275331	0.726834088556431	-176.912271682737	14.9808740444198
"8"	7	-6156.46444599551	-6429.00645567548	-6156.46444599551	-272.542009679967	-6156.46444599551	14.9808740444198	10.4932059295455	0.116499012945302	10.5176683211347	1.6562566626262	0.123629983289074	-96.3355908117721	0.255911639040593	0.335270881763105	-176.912271682737	14.9808740444198
"9"	8	-6100.60506771279	-6372.20318058563	-6100.60506771279	-271.598112872844	-6100.60506771279	15.0190320268932	5.83405917250546	0.328291439843455	5.74597578341574	4.86316452803388	0.380111664583945	-96.1521998636059	0.263312981366607	0.149010550494024	-175.120207085625	15.0190320268932
"10"	9	-6092.34930648448	-6364.52295822652	-6092.34930648448	-272.173651742045	-6092.34930648448	15.0190320268932	14.7875571778872	0.352849133214887	15.5765080095343	35.8498326000435	0.387233638514303	-96.6302220261137	0.369294206128394	0.295788962035998	-175.120207085625	15.0190320268932
