"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file60fc144cac37"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"11"	10	-6085.45143693274	-6355.34001355731	-6085.45143693274	-269.888576624568	-6085.45143693274	15.0190320268932	15.2115830576746	0.276153946719935	15.5461768357607	21.2299344106328	0.294066881018377	-94.6588080157166	0.254193025654697	0.327029259804579	-175.120207085625	15.0190320268932
"12"	11	-6074.36853349469	-6335.8992888017	-6074.36853349469	-261.530755307017	-6074.36853349469	15.0190320268932	5.21635555851138	0.882652233602989	5.62407684170211	30.8338720857844	0.983675067045652	-84.177906840933	0.188108181729136	0.713359086862223	-175.120207085625	15.0190320268932
"13"	12	-6020.37273157031	-6287.88441373816	-6020.37273157031	-267.511682167849	-6020.37273157031	15.0190320268932	1.75318897528584	0.216642276413704	1.74814302463758	0.201952659161858	0.256181755196788	-92.5494882052859	0.239534326739256	0.453989929349978	-175.120207085625	15.0190320268932
"14"	13	-6005.77697612291	-6275.00714875012	-6005.77697612291	-269.230172627205	-6005.77697612291	15.0190320268932	1.67889530443066	0.394109854184046	1.65707474454898	0.53347609693279	0.438336983802963	-93.527787044851	0.165576852522414	0.679121687178191	-175.120207085625	15.0190320268932
"15"	14	-5938.20593430393	-6209.73223861963	-5938.20593430393	-271.526304315706	-5938.20593430393	15.0190320268932	0.845603447746288	0.157850939010993	0.873521308849063	0.0201613463256639	0.163054240750361	-96.8638156293753	0.201504607520381	0.478119115543273	-175.120207085625	15.0190320268932
"16"	15	-5937.48146078856	-6200.32757690865	-5937.48146078856	-262.846116120087	-5937.48146078856	15.0190320268932	0.679729567435024	0.0863788687417582	0.685056076163817	0.0033705604832687	0.0846592470432613	-88.6483549717703	0.257376756453264	0.315326608345138	-175.120207085625	15.0190320268932
"17"	16	-5932.11782866786	-6181.889667337	-5932.11782866786	-249.771838669145	-5932.11782866786	15.0188198851656	1.10053144582426	0.119982374182651	1.08339982447256	0.0141533034207277	0.108501388458183	-79.3497839438964	0.235750774462517	0.757716084651235	-171.105222077643	15.0188198851656
"18"	17	-5919.0348125275	-6166.27838733422	-5919.0348125275	-247.243574806726	-5919.0348125275	15.0188198851656	1.35923627520802	0.413965011503361	1.40061316044466	0.246237058717646	0.373457843678695	-75.4815542963018	0.313249406554753	0.596248315970212	-171.105222077643	15.0188198851656
"19"	18	-5896.69450921354	-6142.15746545037	-5896.69450921354	-245.462956236828	-5896.69450921354	15.0188198851656	1.49083912355725	0.344983823872615	1.40705817163266	0.255004161687196	0.353975174280435	-73.9654855566103	0.253311840208978	0.604233938566889	-171.105222077643	15.0188198851656
"20"	19	-5870.94434271694	-6114.56093042249	-5870.94434271694	-243.616587705552	-5870.94434271694	15.0188198851656	1.54501340598639	0.146071849590524	1.58277670651293	0.0463185603591575	0.138927135724014	-73.035632604621	0.420739649472983	0.408835240008224	-171.105222077643	15.0188198851656
"21"	20	-5818.88972364574	-6055.36864135335	-5818.88972364574	-236.478917707612	-5818.88972364574	15.0188198851656	2.52416310142568	0.0638069004256795	2.58658676567549	0.0261046724017034	0.0637618128716646	-66.4946927101894	0.138412488788786	0.86539443019781	-171.105222077643	15.0188198851656
"22"	21	-5802.65992762169	-6046.22130121501	-5802.65992762169	-243.561373593322	-5802.65992762169	15.0188198851656	3.37632911445615	0.212638898964575	3.3738412136676	0.533253763563234	0.215499231673612	-72.6332348464526	0.0924463646271761	0.915639432599672	-171.105222077643	15.0188198851656
"23"	22	-5800.58023574426	-6038.37397968822	-5800.58023574426	-237.793743943961	-5800.58023574426	15.0188198851656	2.88391555058338	0.0477457654878924	2.87276363875885	0.0201402989942025	0.0494246537240376	-67.9850774415538	0.0758406527212733	0.938641595720024	-171.105222077643	15.0188198851656
"24"	23	-5728.35202497612	-5980.51238904234	-5728.35202497612	-252.160364066214	-5728.35202497612	15.0188198851656	0.918635674425611	0.196673239889087	0.872364813045069	0.0221955775062143	0.164315357450563	-81.3099662062751	0.0560540048959954	0.909348397974379	-171.105222077643	15.0188198851656
"25"	24	-5656.70406616764	-5899.01207366878	-5656.70406616764	-242.308007501137	-5656.70406616764	15.0188198851656	2.1036932421496	0.23855639066709	2.05211211474829	0.232849559240264	0.230169155166577	-71.2590534076852	0.0990595271781619	0.932144866953814	-171.105222077643	15.0188198851656
"26"	25	-5624.52150190494	-5842.90911667383	-5624.52150190494	-218.387614768891	-5624.52150190494	15.0188198851656	3.63065812735337	0.316264739376283	3.12906537609334	1.33162573956933	0.321871358488056	-47.0053616174443	0.161996465600038	0.915594542811693	-171.105222077643	15.0188198851656
"27"	26	-5595.87218770699	-5809.81162137167	-5595.87218770699	-213.939433664685	-5595.87218770699	15.0188198851656	2.19837673117193	0.139119975437372	2.10935975315297	0.0731601277984164	0.125060095168457	-43.3991319439671	0.124329144991427	0.943039447298799	-171.105222077643	15.0188198851656
"28"	27	-5585.32728783321	-5681.4895255291	-5585.32728783321	-96.1622376958875	-5585.32728783321	14.9898292552392	2.35588096542906	0.147821979353184	2.48578407308844	0.122597355049876	0.146784854003592	-50.9432308288703	0.142457602500114	0.921332050182477	-45.7332077487589	14.9898292552392
"29"	28	-5580.5216159791	-5682.58405813008	-5580.5216159791	-102.062442150982	-5580.5216159791	14.9898292552392	2.97798256412287	0.12149101664264	3.1006899508368	0.140137762156864	0.123334971516047	-57.0026984790186	0.112184201888004	0.932028599504548	-45.7332077487589	14.9898292552392
"30"	29	-5555.21651946384	-5610.62642618162	-5555.21651946384	-55.409906717783	-5555.21651946384	15.0020325297392	3.22830165269091	0.0297275726085561	3.24982534528012	0.0106068262071922	0.0319612097466124	-60.8950154720308	0.1774328523422	0.887704253095382	3.92322817547289	15.0020325297392
"31"	30	-5553.63464111615	-5602.94571820816	-5553.63464111615	-49.3110770920112	-5553.63464111615	15.0020325297392	2.64808972431921	0.225307230927331	2.70691422653226	0.439932945738887	0.247499240888742	-53.3515736127386	0.13111158040351	0.937742045631762	3.92322817547289	15.0020325297392
"32"	31	-5531.52511413256	-5576.09318032898	-5531.52511413256	-44.568066196424	-5531.52511413256	15.0020325297392	2.61393034162996	0.0465360158107398	2.58764527037665	0.0153270594294896	0.0469176095705621	-49.8028332903287	0.0839456463944825	0.954110719620923	3.92322817547289	15.0020325297392
"33"	32	-5528.64126632516	-5581.53377527893	-5528.64126632516	-52.892508953774	-5528.64126632516	15.0020325297392	1.49705385135521	0.199274842377041	1.53047084918187	0.0970602135690653	0.202806501555079	-57.0576988228858	0.121205559857237	0.869114872526191	3.92322817547289	15.0020325297392
"34"	33	-5513.48902214201	-5574.49526581473	-5513.48902214201	-61.0062436727232	-5513.48902214201	15.0020325297392	1.8357262157307	0.103689110913494	1.90056774543144	0.0377462655171668	0.103536726690227	-65.7224972330552	0.0703517236669781	0.926179739454491	3.92322817547289	15.0020325297392
"35"	34	-5451.34177829072	-5507.76400140632	-5451.34177829072	-56.4222231155977	-5451.34177829072	15.0020325297392	1.45802862707341	0.0876373680180381	1.45096533042629	0.0170291441721026	0.0896373148403914	-61.2579424499941	0.122132814115813	0.942776549001459	3.92322817547289	15.0020325297392
"36"	35	-5411.96813820777	-5471.92221456172	-5411.96813820777	-59.954076353953	-5411.96813820777	15.0020325297392	0.969044227243082	0.0135401602609176	0.973766133330605	0.000177953772837821	0.0137526659223883	-65.8436370409416	0.106925324213539	0.925981627563106	3.92322817547289	15.0020325297392
"37"	36	-5378.43734174974	-5424.18410650816	-5378.43734174974	-45.7467647584234	-5378.43734174974	15.0020325297392	1.19273622850792	0.0101254499363668	1.19694977767065	0.000142498434943689	0.00999511181299729	-51.779062766115	0.0580238260134842	0.962344000192464	3.92322817547289	15.0020325297392
"38"	37	-5347.63170200007	-5396.84572764519	-5347.63170200007	-49.2140256451124	-5347.63170200007	15.0020325297392	1.48197408517668	0.00830569197082931	1.48515749366492	0.000155696125931525	0.00841819912601766	-55.3422989646537	0.0479646067815414	0.972986865276499	3.92322817547289	15.0020325297392
"39"	38	-5270.57970580965	-5316.85895140034	-5270.57970580965	-46.2792455906929	-5270.57970580965	15.0020325297392	1.77611171064819	0.03420988942919	1.77615338872141	0.0036508384091443	0.0339884221355166	-51.6879589835875	0.0806994949270074	0.972986865276499	3.92322817547289	15.0020325297392
"40"	39	-5246.54839854924	-5286.83542686968	-5246.54839854924	-40.2870283204451	-5246.54839854924	15.0020325297392	1.34812645972507	0.28238097795308	1.34708165839373	0.131931985741502	0.2627499952875	-44.074123273864	0.0256234328325371	0.986376323700607	3.92322817547289	15.0020325297392
"41"	40	-5216.85446636663	-5266.76802228066	-5216.85446636663	-49.9135559140313	-5216.85446636663	15.0020325297392	1.48835131886633	0.697180845287483	1.246474261649	0.833135990867748	0.649103919063786	-52.1983991538701	0.0468305703892509	0.969263893460478	3.92322817547289	15.0020325297392
"42"	41	-5213.95146458496	-5258.3928854457	-5213.95146458496	-44.4414208607445	-5213.95146458496	15.0020325297392	1.12367578993611	0.126767313626156	1.11918454322999	0.0184405788447433	0.120239344319293	-49.0047242582004	0.144976928392894	0.960000288958301	3.92322817547289	15.0020325297392
"43"	42	-5202.18861853374	-5245.69022492202	-5202.18861853374	-43.5016063882776	-5202.18861853374	15.0020325297392	1.5439060053325	0.159315880817357	1.59423842689268	0.0483996423042125	0.141969147174952	-47.8744639774313	0.184228530267413	0.925671160945347	3.92322817547289	15.0020325297392
"44"	43	-5197.56436282954	-5234.584998369	-5197.56436282954	-37.0206355394641	-5197.56436282954	15.0020325297392	1.73388564179198	0.17333088454376	1.80847206647535	0.0912241965055042	0.17721940708799	-41.3179770986522	0.251194883733925	0.915328040009158	3.92322817547289	15.0020325297392
"45"	44	-5167.60340392959	-5212.96884748011	-5167.60340392959	-45.3654435505174	-5167.60340392959	15.0020325297392	1.79914457803628	0.163873254761325	1.69515359278592	0.088037652258641	0.166118060361399	-49.7133824167576	0.141967853412315	0.932128888999246	3.92322817547289	15.0020325297392
"46"	45	-5166.86046281199	-5231.95874298014	-5166.86046281199	-65.0982801681489	-5166.86046281199	15.0020325297392	1.07196491132364	0.683132137634359	0.999420910683695	0.473398707898746	0.657597051568432	-67.4292819069148	0.0837942533406359	0.944131304789765	3.92322817547289	15.0020325297392
"47"	46	-5110.69154188244	-5172.13569955927	-5110.69154188244	-61.4441576768275	-5110.69154188244	15.0020325297392	0.944803759055901	0.151370732827789	0.945649143076702	0.0177773574289527	0.14370609933947	-65.8613721615311	0.0647785461564397	0.951997366727093	3.92322817547289	15.0020325297392
"48"	47	-5104.3569064645	-5180.45673082373	-5104.3569064645	-76.0998243592301	-5104.3569064645	15.0020325297392	0.727324152032052	0.474071235493616	0.71566694842306	0.137638465724436	0.481922474257799	-79.1464475104245	0.0452764413584637	0.951997366727093	3.92322817547289	15.0020325297392
"49"	48	-5067.55746617637	-5142.22722630259	-5067.55746617637	-74.6697601262138	-5067.55746617637	15.0020325297392	0.68328454233425	0.24103348598172	0.670403557056339	0.0267204143812803	0.237560290177176	-78.6380140447934	0.0253475154195592	0.956112718186689	3.92322817547289	15.0020325297392
"50"	49	-5066.68562280626	-5140.05122822451	-5066.68562280626	-73.3656054182519	-5066.68562280626	15.0020325297392	0.481375787210087	0.238696473416878	0.501722249698692	0.013189540573108	0.227470885387417	-77.3444645008874	0.0968821709010796	0.913577259477928	3.92322817547289	15.0020325297392
"51"	50	-5054.81178639646	-5139.16362582433	-5054.81178639646	-84.3518394278757	-5054.81178639646	15.0020325297392	0.546349984659971	0.0639904215838955	0.549377895141754	0.00136053345301791	0.0667658424482776	-89.3942618358931	0.136165199121088	0.621298384543136	3.92322817547289	15.0020325297392
"52"	51	-5048.363664953	-5115.9123993953	-5048.363664953	-67.5487344423064	-5048.363664953	15.0020325297392	0.548542017261346	0.043448484057665	0.557515289184042	0.000593184541498188	0.0440604911064279	-72.823192925625	0.0666151078081885	0.902463623485624	3.92322817547289	15.0020325297392
"53"	52	-4991.99538593449	-5057.74858455845	-4991.99538593449	-65.7531986239614	-4991.99538593449	15.0020325297392	0.866893173153636	0.390798042183947	0.942485434683616	0.124702422065091	0.396403301595485	-69.1068054510526	0.11814224890831	0.854958549131683	3.92322817547289	15.0020325297392
"54"	53	-4977.62279446735	-5039.26744802012	-4977.62279446735	-61.6446535527739	-4977.62279446735	15.0020325297392	0.570971261563305	0.31150967721167	0.537290357772197	0.0299222486469545	0.311663244172159	-65.3102764313594	0.0954815086927198	0.935358202171177	3.92322817547289	15.0020325297392
"55"	54	-4933.4504104383	-4994.59167193814	-4933.4504104383	-61.1412614998428	-4933.4504104383	15.0020325297392	0.701107039391389	0.0577995294321937	0.691698825029886	0.00142322341959618	0.054087952945276	-66.246741653118	0.212860982216606	0.788213356164185	3.92322817547289	15.0020325297392
"56"	55	-4924.06817886325	-4988.57169562472	-4924.06817886325	-64.5035167614736	-4924.06817886325	15.0020325297392	0.623759771384082	0.180072558787023	0.621635076245566	0.0126540384269208	0.180548009326389	-68.7656376343003	0.151935560443217	0.827159317882016	3.92322817547289	15.0020325297392
"57"	56	-4919.77553139762	-4981.96559742006	-4919.77553139762	-62.1900660224417	-4919.77553139762	15.0020325297392	0.679502992636922	0.124166564054286	0.682004561832979	0.00600645750855773	0.115996156569745	-66.7697232205485	0.184144954529328	0.862237418999911	3.92322817547289	15.0020325297392
"58"	57	-4913.82180823318	-4976.80679679312	-4913.82180823318	-62.9849885599453	-4913.82180823318	15.0020325297392	0.679502992636922	0.214952142304535	0.640567430989677	0.0170753199478585	0.196834805602468	-67.0742613452009	0.156221824329968	0.831800738868382	3.92322817547289	15.0020325297392
"59"	58	-4909.1545210135	-4975.92774777635	-4909.1545210135	-66.7732267628527	-4909.1545210135	15.0020325297392	0.729914261671207	0.384762886511092	0.671550429795601	0.0815759184029316	0.421516290643735	-70.1498020658583	0.211668275631113	0.762981744078257	3.92322817547289	15.0020325297392
"60"	59	-4898.66488700489	-4966.27703457196	-4898.66488700489	-67.6121475670687	-4898.66488700489	15.0020325297392	0.378180094876816	0.251867588359853	0.358909322574852	0.0112709303305207	0.277696984599177	-71.5317898347895	0.270239064600644	0.697828815690733	3.92322817547289	15.0020325297392
"61"	60	-4887.5826639767	-4961.70567583098	-4887.5826639767	-74.123011854281	-4887.5826639767	15.0020325297392	0.4319440301839	0.385353919983941	0.394460401624798	0.0342943451754676	0.429979167802939	-77.4973328672456	0.230721909863464	0.682306719540094	3.92322817547289	15.0020325297392
"62"	61	-4834.96052604512	-4907.59330773536	-4834.96052604512	-72.632781690241	-4834.96052604512	15.0020325297392	0.4319440301839	0.311237231076499	0.414179559424373	0.0225329217940714	0.344724224482394	-76.2995208070479	0.147066991466678	0.874998105633551	3.92322817547289	15.0020325297392
"63"	62	-4830.9736913333	-4902.76692505886	-4830.9736913333	-71.7932337255659	-4830.9736913333	15.0020325297392	0.358990732026314	0.116926915770096	0.355317542295725	0.00187574596809125	0.120093909097694	-76.4195062989536	0.271548800799359	0.514084302240063	3.92322817547289	15.0020325297392
"64"	63	-4825.02772584341	-4894.2043934956	-4825.02772584341	-69.1766676521896	-4825.02772584341	15.0020325297392	0.413684221078944	0.272394697485051	0.424483778090238	0.010039465428981	0.245124600676316	-73.0064882652232	0.22231803488994	0.648477558085748	3.92322817547289	15.0020325297392
"65"	64	-4795.99146528479	-4867.37864909913	-4795.99146528479	-71.3871838143376	-4795.99146528479	15.0020325297392	0.413684221078944	0.175649736172433	0.407461682318452	0.00461783741933772	0.165938366475851	-75.6723350145106	0.111765853374861	0.924012016586951	3.92322817547289	15.0020325297392
"66"	65	-4780.60475235123	-4850.80972889771	-4780.60475235123	-70.2049765464871	-4780.60475235123	15.0020325297392	0.447174021563672	0.437739945738728	0.37009471134601	0.0409548535937542	0.465393521703486	-73.3834415759696	0.147277731580301	0.748224715335052	3.92322817547289	15.0020325297392
"67"	66	-4705.50823598177	-4768.83269107151	-4705.50823598177	-63.3244550897433	-4705.50823598177	15.0020325297392	0.495579609584894	0.27940642997859	0.491606349231939	0.025100954185721	0.319607245216809	-67.1242143477779	0.081616924517194	0.948659271643781	3.92322817547289	15.0020325297392
"68"	67	-4696.17403696455	-4752.5808452462	-4696.17403696455	-56.4068082816527	-4696.17403696455	15.0020325297392	0.517289017309826	0.551186119661022	0.449847063044495	0.0774309183829533	0.545658709300922	-59.1821179896868	0.0432340408887839	0.964296159407422	3.92322817547289	15.0020325297392
"69"	68	-4677.39852018083	-4738.40413371699	-4677.39852018083	-61.0056135361582	-4677.39852018083	15.0020325297392	0.4716085561024	0.260480307845854	0.469581848013312	0.0173556802663269	0.275644124435156	-64.8872231357496	0.0802472425264393	0.952006947268339	3.92322817547289	15.0020325297392
"70"	69	-4628.96240877927	-4688.73215303115	-4628.96240877927	-59.7697442518843	-4628.96240877927	15.0020325297392	0.427607815980726	0.120467817049762	0.413165535603346	0.00252000364615298	0.117737462953042	-64.3730096562558	0.0959409711782732	0.942927630174831	3.92322817547289	15.0020325297392
"71"	70	-4614.89084793504	-4677.4548050571	-4614.89084793504	-62.5639571220539	-4614.89084793504	15.0020325297392	0.404388597326511	0.1210648880374	0.407798837234646	0.00254085711087973	0.12398458959987	-67.1633828736985	0.0453980173614628	0.986522623250142	3.92322817547289	15.0020325297392
"72"	71	-4613.477597448	-4669.60657899464	-4613.477597448	-56.1289815466414	-4613.477597448	15.0020325297392	0.657126228333015	0.239875293751137	0.672222878880488	0.0213965896323684	0.226494779234548	-60.1024857804453	0.0488113684707807	0.969883857263307	3.92322817547289	15.0020325297392
"73"	72	-4607.00019832014	-4663.93720908515	-4607.00019832014	-56.9370107650159	-4607.00019832014	15.0020325297392	0.536434808398081	0.0289865238141799	0.533147843342468	0.000223984735545392	0.0279465058932736	-62.4356822646667	0.0439198387968402	0.969883857263307	3.92322817547289	15.0020325297392
"74"	73	-4603.43703442996	-4654.62703894548	-4603.43703442996	-51.1900045155165	-4603.43703442996	15.0020325297392	0.576767377644021	0.00546236851930697	0.577270057058886	9.59238437300941e-06	0.00536541711795749	-57.5186576043133	0.0410869619684471	0.969883857263307	3.92322817547289	15.0020325297392
"75"	74	-4603.26383439836	-4662.31350345003	-4603.26383439836	-59.0496690516608	-4603.26383439836	14.9990214340996	0.499007756004185	0.0181366307671369	0.502157055983066	8.50877521861843e-05	0.0184700696306292	-66.3794241418388	0.0766284050318532	0.911900493973757	5.51002113503485	14.9990214340996
"76"	75	-4586.30501747952	-4640.49190450048	-4586.30501747952	-54.1868870209592	-4586.30501747952	14.9990214340996	0.513941872585186	0.147855593483309	0.540895608158904	0.00649266448969389	0.155165429573764	-60.2109163383623	0.103144886984575	0.908221946393764	5.51002113503485	14.9990214340996
"77"	76	-4573.18815378191	-4642.15349933637	-4573.18815378191	-68.9653455544627	-4573.18815378191	14.9990214340996	0.452063156879716	0.275757420984526	0.432434275138801	0.0184062525289426	0.296605265547709	-74.3675050208005	0.210752840476932	0.76043234710459	5.51002113503485	14.9990214340996
"78"	77	-4556.85342614907	-4620.75677264211	-4556.85342614907	-63.903346493031	-4556.85342614907	14.9990214340996	0.40903671879756	0.400879409144967	0.399578654342342	0.0343866280615815	0.410192440234204	-68.80562208502	0.141283649080068	0.860548009483461	5.51002113503485	14.9990214340996
"79"	78	-4553.40995266363	-4618.29753917837	-4553.40995266363	-64.887586514743	-4553.40995266363	14.9990214340996	0.382412135595715	0.187612397521461	0.375799438670657	0.00544268944752804	0.192342091728392	-70.6978725809825	0.105499826321864	0.870856244233428	5.51002113503485	14.9990214340996
"80"	79	-4552.44968892801	-4619.5416897167	-4552.44968892801	-67.092000788685	-4552.44968892801	14.9990214340996	0.33901579474067	0.0301526749559834	0.337162297394786	9.70625140814894e-05	0.0291579136201821	-74.156252316954	0.23098789840056	0.717619180995893	5.51002113503485	14.9990214340996
"81"	80	-4548.78548356255	-4612.53387509465	-4548.78548356255	-63.7483915320994	-4548.78548356255	14.9990214340996	0.408317461220571	0.0703502584187686	0.417956091075574	0.000758094676497158	0.0674139745398797	-70.3173294496324	0.145610411596305	0.871649647807168	5.51002113503485	14.9990214340996
"82"	81	-4548.62473735172	-4603.63653971437	-4548.62473735172	-55.0118023626417	-4548.62473735172	14.9990214340996	0.373514620094151	0.303807493049799	0.356304784917419	0.0124194511423605	0.310881271987732	-60.2959129095934	0.209993928748459	0.803453290608482	5.51002113503485	14.9990214340996
"83"	82	-4541.06346832114	-4603.15190275317	-4541.06346832114	-62.0884344320287	-4541.06346832114	15.0008065349977	0.492032489656248	0.0770119274326137	0.482732791568095	0.0016474549592688	0.0831782783198393	-68.7518209558714	0.160680058406805	0.888756504255106	5.66356739452554	15.0008065349977
"84"	83	-4524.40365020057	-4583.57282576118	-4524.40365020057	-59.1691755606177	-4524.40365020057	15.0008065349977	0.500972161627749	0.0120022257774238	0.498907554295816	3.84239392096119e-05	0.0123975982771896	-66.8586120297225	0.0637031452174676	0.941310182532362	5.66356739452554	15.0008065349977
"85"	84	-4522.84401486749	-4577.39138854432	-4522.84401486749	-54.547373676835	-4522.84401486749	15.0008065349977	0.411846614067284	0.0271778879373323	0.413242317466432	0.000126639346026585	0.0273075189230301	-61.8207826254118	0.0814762741667421	0.941436525500626	5.66356739452554	15.0008065349977
"86"	85	-4499.75972754235	-4558.56455387715	-4499.75972754235	-58.8048263348004	-4499.75972754235	15.0008065349977	0.411846614067284	0.0138094334533948	0.414213369570698	3.48580323348068e-05	0.0143151615357391	-66.4249550300889	0.0905559274574402	0.929638183491354	5.66356739452554	15.0008065349977
"87"	86	-4476.61397076265	-4543.5645666958	-4476.61397076265	-66.9505959331422	-4476.61397076265	15.0008065349977	0.411846614067284	0.0420479613673919	0.409526196767932	0.000284710326445996	0.0408658232487788	-73.9841459178398	0.0390933563460963	0.950440393386642	5.66356739452554	15.0008065349977
"88"	87	-4462.02387401078	-4529.55163023716	-4462.02387401078	-67.5277562263813	-4462.02387401078	15.0008065349977	0.289088205876526	0.0132094850916469	0.28958448748345	1.18535343358372e-05	0.0119301441145533	-75.1699053745167	0.0998611403698193	0.894706570078645	5.66356739452554	15.0008065349977
"89"	88	-4458.78362043307	-4519.60860648652	-4458.78362043307	-60.8249860534545	-4458.78362043307	15.0008065349977	0.300272289694591	0.00898362927166871	0.300664518524655	6.77229181492257e-06	0.00866454311609211	-68.6556991069808	0.187284842175862	0.723968356120878	5.66356739452554	15.0008065349977
"90"	89	-4423.59401199014	-4473.95615993782	-4423.59401199014	-50.3621479476786	-4423.59401199014	15.0008065349977	0.490067156135725	0.011191334106715	0.489347245174982	3.67028859352604e-05	0.0123497940994012	-58.0859137994617	0.199751991547959	0.854006687429974	5.66356739452554	15.0008065349977
"91"	90	-4385.87438791894	-4429.32796786851	-4385.87438791894	-43.4535799495718	-4385.87438791894	15.0008065349977	0.624504396475827	0.0645139963033085	0.622973232423067	0.00178069192762262	0.0679688023406971	-50.2312189013945	0.182669686637056	0.915139762728546	5.66356739452554	15.0008065349977
"92"	91	-4376.60283264356	-4409.97644364534	-4376.60283264356	-33.3736110017765	-4376.60283264356	15.0008065349977	0.649104431863846	0.00506897161758888	0.648622680186357	1.14715968609318e-05	0.00521751884214254	-41.4780457958023	0.260649597008868	0.847180424664133	5.66356739452554	15.0008065349977
"93"	92	-4364.28534730509	-4401.54152289426	-4364.28534730509	-37.2561755891726	-4364.28534730509	15.0008065349977	0.720011391842542	0.0961092493114056	0.7188453755626	0.00463987528028821	0.0946746079217149	-43.7675658097176	0.147445882487719	0.910000440141581	5.66356739452554	15.0008065349977
"94"	93	-4360.87230435599	-4389.61818875803	-4360.87230435599	-28.7458844020329	-4360.87230435599	15.0008065349977	0.838981831245234	0.330706965780119	0.774483045746993	0.0886312515000153	0.340126499616635	-34.0740456890559	0.217795289728151	0.910000440141581	5.66356739452554	15.0008065349977
"95"	94	-4346.87800345025	-4386.42056651322	-4346.87800345025	-39.5425630629668	-4346.87800345025	15.0008065349977	0.564202109740218	0.429066592523327	0.571315498354527	0.0533419992060455	0.414776453271921	-44.4932922946607	0.151130611193943	0.912494772247374	5.66356739452554	15.0008065349977
"96"	95	-4308.05919945177	-4338.83537919583	-4308.05919945177	-30.7761797440606	-4308.05919945177	15.0008065349977	0.581419113707236	0.17508123454744	0.640115607325831	0.00926084035256401	0.16331498572256	-36.8046513078635	0.176163273551039	0.915187312914715	5.66356739452554	15.0008065349977
