"","Sample","NSlikelihood","posterior","likelihood","prior","treeLikelihood.file38f42b37f504","TreeHeight","BirthDeath","BDBirthRate","BDDeathRate","logP.mrca.auto_name_1..","mrca.age.auto_name_1.","clockRate"
"1",0,-6337.16009858598,-8949.22806342816,-6337.16009858598,-2612.06796484218,-6337.16009858598,14.9284222186246,-56.3673882791483,0.50828443307049,0.298702657101074,-2555.70057656303,14.9284222186246,2.10905178974411
"2",1,-6307.19994887796,-8929.3512523588,-6307.19994887796,-2622.15130348083,-6307.19994887796,14.9284222186246,-66.4507269178014,0.43755892217472,0.526323289183485,-2555.70057656303,14.9284222186246,4.38195448015423
"3",2,-6171.38309006881,-6456.19470752876,-6171.38309006881,-284.811617459945,-6171.38309006881,14.9790659114575,-71.6824026521036,0.243070968320698,0.684335915257232,-213.129214807842,14.9790659114575,8.32371991800665
"4",3,-6160.12843022025,-6444.58350109975,-6160.12843022025,-284.455070879497,-6160.12843022025,14.9790659114575,-71.3258560716557,0.221633405599868,0.769756104531756,-213.129214807842,14.9790659114575,10.5228292407992
"5",4,-6158.3193079444,-6440.73314555766,-6158.3193079444,-282.413837613255,-6158.3193079444,14.9790659114575,-69.2846228054138,0.187734011258231,0.749213774466029,-213.129214807842,14.9790659114575,10.7521192971213
"6",5,-6152.41930229028,-6433.11303744619,-6152.41930229028,-280.693735155912,-6152.41930229028,14.9790659114575,-67.5645203480707,0.245455069327687,0.820204189684758,-213.129214807842,14.9790659114575,4.87329726663435
"7",6,-6117.1971818387,-6383.67564738438,-6117.1971818387,-266.478465545675,-6117.1971818387,14.9790659114575,-53.3492507378329,0.170148282622169,0.930189562198088,-213.129214807842,14.9790659114575,5.00170759114206
"8",7,-6111.16720606757,-6380.80093034855,-6111.16720606757,-269.633724280984,-6111.16720606757,14.9790659114575,-56.5045094731423,0.0919364910210615,0.952490571292437,-213.129214807842,14.9790659114575,5.03947320210828
"9",8,-6098.26762791786,-6366.92934215815,-6098.26762791786,-268.661714240297,-6098.26762791786,14.9790659114575,-55.5324994324551,0.107146227118306,0.961454617874834,-213.129214807842,14.9790659114575,6.93114671380976
"10",9,-6091.40441709806,-6352.4860254478,-6091.40441709806,-261.081608349737,-6091.40441709806,14.9790659114575,-47.9523935418955,0.200455525477206,0.857466652784456,-213.129214807842,14.9790659114575,5.99790056920436
"11",10,-6090.03198379507,-6340.23488542716,-6090.03198379507,-250.202901632099,-6090.03198379507,15.0193769246938,-68.4591130831052,0.186720507307821,0.854703353903034,-181.743788548993,15.0193769246938,4.94958031637156
"12",11,-6083.76338882505,-6332.96526759394,-6083.76338882505,-249.201878768891,-6083.76338882505,15.0193769246938,-67.4580902198978,0.204632656367909,0.786321137981293,-181.743788548993,15.0193769246938,12.599429501062
"13",12,-6067.2535334425,-6323.1574226154,-6067.2535334425,-255.903889172901,-6067.2535334425,15.0193769246938,-74.1601006239075,0.401706746827333,0.441989259990398,-181.743788548993,15.0193769246938,8.75327598716494
"14",13,-6043.67395338998,-6307.16644177594,-6043.67395338998,-263.49248838597,-6043.67395338998,15.0193769246938,-81.7486998369762,0.258807309541217,0.611440659358335,-181.743788548993,15.0193769246938,8.37990876355082
"15",14,-6019.59290413863,-6272.18060495189,-6019.59290413863,-252.587700813265,-6019.59290413863,15.0193769246938,-70.8439122642718,0.214401859864833,0.848030497837948,-181.743788548993,15.0193769246938,14.1339208689705
"16",15,-6014.94401349049,-6253.71674236536,-6014.94401349049,-238.772728874872,-6014.94401349049,15.0193769246938,-57.0289403258781,0.250844442696709,0.814442881966653,-181.743788548993,15.0193769246938,13.6803382517122
"17",16,-6009.88251283622,-6248.94818278493,-6009.88251283622,-239.065669948711,-6009.88251283622,15.0193769246938,-57.3218813997175,0.134270375482394,0.891543276040271,-181.743788548993,15.0193769246938,6.61579521570024
"18",17,-5987.27706855159,-6237.3612476408,-5987.27706855159,-250.084179089203,-5987.27706855159,15.0193769246938,-68.34039054021,0.265412661763931,0.779642263460684,-181.743788548993,15.0193769246938,9.68358103885254
"19",18,-5974.67969143406,-6161.95190486504,-5974.67969143406,-187.272213430973,-5974.67969143406,15.0146995313714,-85.2229189075925,0.256365489757533,0.621851291535395,-102.049294523381,15.0146995313714,8.56161300821644
"20",19,-5965.14580811996,-6033.16824536181,-5965.14580811996,-68.0224372418476,-5965.14580811996,15.0012522385721,-73.227203266851,0.1450645276251,0.895509140459635,5.20476602500337,15.0012522385721,6.88787831553295
"21",20,-5864.96539742182,-5925.59276888162,-5864.96539742182,-60.6273714598014,-5864.96539742182,15.0012522385721,-65.8321374848048,0.102004879614872,0.911276277140583,5.20476602500337,15.0012522385721,3.12954125055216
"22",21,-5861.40266588013,-5923.84037528626,-5861.40266588013,-62.4377094061329,-5861.40266588013,15.0012522385721,-67.6424754311363,0.121993317928512,0.924519244341364,5.20476602500337,15.0012522385721,4.20486510249273
"23",22,-5849.9555049271,-5918.98817437043,-5849.9555049271,-69.0326694433325,-5849.9555049271,15.0012522385721,-74.2374354683359,0.159834474341738,0.890075367228201,5.20476602500337,15.0012522385721,4.14268265131493
"24",23,-5824.56377334786,-5889.90567181018,-5824.56377334786,-65.3418984623213,-5824.56377334786,15.0004270457136,-71.2395311873299,0.17683992735046,0.80123941268642,5.89763272500863,15.0004270457136,1.61602054975397
"25",24,-5811.96974599995,-5880.242223361,-5811.96974599995,-68.2724773610559,-5811.96974599995,15.0004270457136,-74.1701100860646,0.21555210872926,0.637752953379305,5.89763272500863,15.0004270457136,1.51471981300327
"26",25,-5809.55333727813,-5875.70740596633,-5809.55333727813,-66.1540686882033,-5809.55333727813,15.0004270457136,-72.0517014132119,0.17076079910452,0.906802592868694,5.89763272500863,15.0004270457136,0.982759923487738
"27",26,-5766.14911742173,-5831.98773711961,-5766.14911742173,-65.8386196978815,-5766.14911742173,15.0004270457136,-71.7362524228901,0.144720965612811,0.869375443401521,5.89763272500863,15.0004270457136,1.77736641530892
"28",27,-5702.64361977915,-5773.07971651889,-5702.64361977915,-70.4360967397375,-5702.64361977915,15.0004270457136,-76.3337294647461,0.162197751464663,0.791907671938756,5.89763272500863,15.0004270457136,0.84876962302159
"29",28,-5657.23225786777,-5733.66347853719,-5657.23225786777,-76.4312206694167,-5657.23225786777,15.0004270457136,-82.3288533944254,0.325917811898247,0.384117406204681,5.89763272500863,15.0004270457136,0.739230022214445
"30",29,-5647.444919503,-5722.3486296829,-5647.444919503,-74.903710179893,-5647.444919503,15.0004270457136,-80.8013429049016,0.18292104531981,0.713882422700383,5.89763272500863,15.0004270457136,0.800361256107221
"31",30,-5634.02564428918,-5712.0478497207,-5634.02564428918,-78.0222054315238,-5634.02564428918,15.0004270457136,-83.9198381565324,0.259761969095132,0.571642217687763,5.89763272500863,15.0004270457136,0.473145879903187
"32",31,-5612.72476449429,-5697.67333687747,-5612.72476449429,-84.9485723831713,-5612.72476449429,15.0004270457136,-90.8462051081799,0.271122798936817,0.403944009445369,5.89763272500863,15.0004270457136,0.282922295447216
"33",32,-5610.14590495574,-5692.79845186308,-5610.14590495574,-82.6525469073408,-5610.14590495574,15.0004270457136,-88.5501796323494,0.183085453533439,0.700199121748572,5.89763272500863,15.0004270457136,0.469579655961262
"34",33,-5572.39335563345,-5656.96693774566,-5572.39335563345,-84.5735821122118,-5572.39335563345,15.0004270457136,-90.4712148372204,0.239593091497285,0.567308740520969,5.89763272500863,15.0004270457136,0.718128598682402
