"","Sample","NSlikelihood","posterior","likelihood","prior","treeLikelihood.file37262d030bd1","TreeHeight","BirthDeath","BDBirthRate","BDDeathRate","logP.mrca.auto_name_1..","mrca.age.auto_name_1.","clockRate"
"1",0,-6732.57921839388,-9344.64718323606,-6732.57921839388,-2612.06796484218,-6732.57921839388,14.9284222186246,-56.3673882791483,0.50828443307049,0.298702657101074,-2555.70057656303,14.9284222186246,2.10905178974411
"2",1,-6381.79553291749,-9005.69531434312,-6381.79553291749,-2623.89978142562,-6381.79553291749,14.9284222186246,-68.199204862591,0.493607900843588,0.397223495144616,-2555.70057656303,14.9284222186246,5.27373322266043
"3",2,-6297.01024738805,-6367.46709670333,-6297.01024738805,-70.4568493152867,-6297.01024738805,15.0052895552698,-62.4559685848015,0.301189943463876,0.655995798448867,-8.00088073048513,15.0052895552698,6.83285688641462
"4",3,-6252.46090590472,-6331.5553523882,-6252.46090590472,-79.0944464834778,-6252.46090590472,15.0052895552698,-71.0935657529927,0.187688148335638,0.838900349758737,-8.00088073048513,15.0052895552698,17.8857351365953
"5",4,-6238.32462503951,-6321.22985892325,-6238.32462503951,-82.9052338837343,-6238.32462503951,15.0052895552698,-74.9043531532491,0.260880324857619,0.62912303825746,-8.00088073048513,15.0052895552698,264.576070822751
"6",5,-6238.32462489582,-6325.49141171057,-6238.32462489582,-87.1667868147515,-6238.32462489582,15.0052895552698,-79.1659060842664,0.233247671494273,0.735812895639479,-8.00088073048513,15.0052895552698,1135.37951512889
"7",6,-6238.32462221899,-6328.16623037765,-6238.32462221899,-89.8416081586614,-6238.32462221899,15.0052895552698,-81.8407274281763,0.205266459320383,0.739682997452827,-8.00088073048513,15.0052895552698,1013.79270183794
"8",7,-6238.32355956594,-6326.24317816832,-6238.32355956594,-87.9196186023761,-6238.32355956594,15.0052895552698,-79.918737871891,0.2049738523403,0.747957674665659,-8.00088073048513,15.0052895552698,1345.1877796689
"9",8,-6238.23301692644,-6332.6809590469,-6238.23301692644,-94.4479421204633,-6238.23301692644,15.0052895552698,-86.4470613899781,0.122002100823396,0.848279352015818,-8.00088073048513,15.0052895552698,684.255483003119
"10",9,-6237.99450933963,-6319.26071580744,-6237.99450933963,-81.2662064678071,-6237.99450933963,15.0052895552698,-73.2653257373219,0.193084276185521,0.769772736174561,-8.00088073048513,15.0052895552698,342.003376136669
"11",10,-6237.93564336883,-6307.31877338386,-6237.93564336883,-69.3831300150371,-6237.93564336883,15.0052895552698,-61.3822492845519,0.164594732568996,0.89687963560339,-8.00088073048513,15.0052895552698,363.565084183998
"12",11,-6237.73001055604,-6312.63541192796,-6237.73001055604,-74.905401371922,-6237.73001055604,15.0052895552698,-66.9045206414368,0.0739007213931955,0.9401841444255,-8.00088073048513,15.0052895552698,330.457786165104
