"","Sample","NSlikelihood","posterior","likelihood","prior","treeLikelihood.file2fc17667d4de","TreeHeight","rateAC","rateAG","rateAT","rateCG","rateGT","freqParameter.1","freqParameter.2","freqParameter.3","freqParameter.4","ucldMean","ucldStdev","rate.mean","rate.variance","rate.coefficientOfVariation","BirthDeath","BDBirthRate","BDDeathRate","logP.mrca.auto_name_1..","mrca.age.auto_name_1."
"1",0,-7949.57057352077,-13127.4768189763,-7949.57057352077,-5177.90624545548,-7949.57057352077,14.8988187583228,1.55789349923141,1,1,1.24234320105926,0.525308167073047,0.255074075257282,0.25,0.244925924742718,0.25,0.586626064976901,0.0870363964711102,0.587831844147169,0.00244839606071162,0.0838654967626043,-50.0374717807045,0.723423979660803,0.358703610219255,-5112.83301692847,14.8988187583228
"2",1,-6221.06876204963,-10577.779496011,-6221.06876204963,-4356.71073396136,-6221.06876204963,14.9073566830104,1.55789349923141,1,1,1.24234320105926,0.944793143138443,0.255074075257282,0.24067001692374,0.23185021555875,0.272405692260228,8.56068064417134,0.0908153173350473,8.80988176554911,0.658657286318741,0.0937415189892665,-55.6426593768329,0.435394322873284,0.573683198757759,-4285.40327467294,14.9073566830104
"3",2,-6219.26430325867,-9556.27029543,-6219.26430325867,-3337.00599217133,-6219.26430325867,15.0808533856939,2.08640866683264,1,1,0.976522628907547,1.30678154626324,0.255074075257282,0.24067001692374,0.23185021555875,0.272405692260228,8.73656029494756,0.122116406264182,8.48897526972573,1.22127524914662,0.127638436395355,-58.057320070652,0.331192193246907,0.73648875637054,-3262.646172334,15.0808533856939
"4",3,-6206.64385718757,-9524.90956445691,-6206.64385718757,-3318.26570726934,-6206.64385718757,15.0808533856939,2.08640866683264,1.59719787239337,1,0.976522628907547,0.863208907301088,0.245962174001517,0.24067001692374,0.240962116814515,0.272405692260228,11.833979367587,0.0802745486802188,12.308075509252,1.11648397252862,0.0875165818463066,-39.5833371719275,0.20251643252611,0.91867128005748,-3262.646172334,15.0808533856939
"5",4,-6194.29167393354,-6959.71076431404,-6194.29167393354,-765.419090380493,-6194.29167393354,15.037830361286,2.08640866683264,2.29444178191433,1,0.406062001639296,1.38360296850172,0.240682375044179,0.24067001692374,0.240962116814515,0.277685491217566,11.419123310669,0.0629222404434819,11.3659284015229,0.695053614154549,0.0722032441514159,-39.9725954318792,0.0914296798577016,0.955238854062318,-709.579300768725,15.037830361286
"6",5,-6190.31334155688,-6275.98363647434,-6190.31334155688,-85.6702949174613,-6190.31334155688,14.9931808745035,1.98471070632652,3.96910367189443,1,0.239539305278481,1.38360296850172,0.247814759895598,0.24067001692374,0.233829731963096,0.277685491217566,14.9348169119528,0.113274145058503,14.9993642032808,2.9952266245319,0.11387625838229,-52.1104733391837,0.0886830762385504,0.939940257432148,-17.2614195224793,14.9931808745035
"7",6,-6185.86835575764,-6257.8048772501,-6185.86835575764,-71.9365214924654,-6185.86835575764,14.9931808745035,1.98471070632652,3.96910367189443,1,0.257473690300147,1.38360296850172,0.247814759895598,0.24067001692374,0.233829731963096,0.277685491217566,16.6934673426455,0.0589477453406029,16.2814380964908,0.896045145728995,0.0569589215051814,-38.7492840610937,0.168466957821877,0.915821335265215,-17.2614195224793,14.9931808745035
"8",7,-6184.92074680053,-6255.51070831064,-6184.92074680053,-70.5899615101075,-6184.92074680053,14.9931808745035,1.98471070632652,2.20161265342779,0.437377835505122,0.257473690300147,1.19827319861431,0.257300947090583,0.231742250042447,0.233829731963096,0.277127070903875,14.252206615168,0.049661636736461,14.1455480041086,0.543963500776781,0.0515406669672749,-39.151242090493,0.199692538292073,0.907665806738654,-17.2614195224793,14.9931808745035
"9",8,-6177.0476166326,-6248.31495655186,-6177.0476166326,-71.2673399192616,-6177.0476166326,14.9931808745035,1.98471070632652,2.20161265342779,0.437377835505122,0.380619213338905,1.19827319861431,0.257300947090583,0.231742250042447,0.233829731963096,0.277127070903875,3.83636996540336,0.135953820941541,4.17894478685002,0.350419716597112,0.154466759894448,-38.7553524269664,0.161080397635131,0.896565297678873,-17.2614195224793,14.9931808745035
"10",9,-6170.70899576706,-6253.48343028136,-6170.70899576706,-82.7744345143043,-6170.70899576706,14.9931808745035,1.98471070632652,2.20161265342779,0.437377835505122,0.380619213338905,0.395561086268222,0.257300947090583,0.231742250042447,0.226328771996262,0.284628030870709,10.1982922185583,0.110862677385457,10.0935594224336,1.47632458983854,0.11970616418018,-51.5552662261621,0.250623147607673,0.8735847021724,-17.2614195224793,14.9931808745035
