"","Sample","NSlikelihood","posterior","likelihood","prior","treeLikelihood.file31ac1a91fc52","TreeHeight","rateAC","rateAG","rateAT","rateCG","rateGT","freqParameter.1","freqParameter.2","freqParameter.3","freqParameter.4","ucldMean","ucldStdev","rate.mean","rate.variance","rate.coefficientOfVariation","BirthDeath","BDBirthRate","BDDeathRate","logP.mrca.auto_name_1..","mrca.age.auto_name_1."
"1",0,-6816.90835422098,-11994.8145996765,-6816.90835422098,-5177.90624545548,-6816.90835422098,14.8988187583228,1.55789349923141,1,1,1.24234320105926,0.525308167073047,0.255074075257282,0.25,0.244925924742718,0.25,0.586626064976901,0.0870363964711102,0.587831844147169,0.00244839606071162,0.0838654967626043,-50.0374717807045,0.723423979660803,0.358703610219255,-5112.83301692847,14.8988187583228
"2",1,-6255.2085862985,-11450.7573961396,-6255.2085862985,-5195.54880984115,-6255.2085862985,14.8988187583228,2.52846849360854,1,1,1.24234320105926,0.944793143138443,0.255074075257282,0.25,0.23185021555875,0.263075709183968,1.02564908531974,0.16314008143221,1.12051993722852,0.0366676219049282,0.184062216450488,-66.0347951553695,0.322132189529883,0.682074616748191,-5112.83301692847,14.8988187583228
"3",2,-6079.24704941845,-11277.0421585424,-6079.24704941845,-5197.79510912399,-6079.24704941845,14.8988187583228,2.52846849360854,1,1,1.57279665089198,0.944793143138443,0.255074075257282,0.25,0.23185021555875,0.263075709183968,2.06451703358375,0.121908073517873,2.09062686979726,0.0535589840096898,0.109676245646622,-68.2660851262605,0.35662727695108,0.616658228064157,-5112.83301692847,14.8988187583228
"4",3,-5916.15610103111,-11106.1342690052,-5916.15610103111,-5189.9781679741,-5916.15610103111,14.8988187583228,2.52846849360854,1,1,1.57279665089198,0.579591964020039,0.245962174001517,0.242228761047074,0.248733355767442,0.263075709183968,4.64223951825247,0.0626023934674096,4.65941238934761,0.0908774582737382,0.0645639613921878,-61.4120047084034,0.124979785455926,0.953462179241203,-5112.83301692847,14.8988187583228
"5",4,-5900.24085800312,-6400.33518427888,-5900.24085800312,-500.094326275763,-5900.24085800312,15.0295090049173,2.79522213425915,1.43654197239578,1,0.654007328992727,0.929004734723108,0.245962174001517,0.242228761047074,0.248733355767442,0.263075709183968,4.33631799949811,0.0393247288002142,4.35770326386738,0.0263745420365244,0.0373320289063616,-55.18876914253,0.0782336674780603,0.96004200408103,-429.401868859663,15.0295090049173
"6",5,-5821.65269105644,-6327.0927546423,-5821.65269105644,-505.44006358586,-5821.65269105644,15.0295090049173,2.01868308275555,2.4850419227937,0.430118773811943,0.654007328992727,0.929004734723108,0.253094558852937,0.242228761047074,0.241600970916022,0.263075709183968,3.27336525631472,0.00311585567692962,3.27223621474497,9.96222825724114e-05,0.00304880012667563,-62.4688648778889,0.0732058386314651,0.96004200408103,-429.401868859663,15.0295090049173
"7",6,-5812.01125504763,-6310.92383728498,-5812.01125504763,-498.912582237359,-5812.01125504763,15.0295090049173,2.85427886570689,2.30270481731708,0.430118773811943,0.654007328992727,0.929004734723108,0.253094558852937,0.242228761047074,0.241600970916022,0.263075709183968,1.7148473911881,0.00510008932517036,1.71551990275677,7.0205447257627e-05,0.00488596497622597,-55.3782207271091,0.0594714120008426,0.962711942108631,-429.401868859663,15.0295090049173
"8",7,-5808.52349242917,-5882.05152239276,-5808.52349242917,-73.5280299635878,-5808.52349242917,14.9996127477066,2.85427886570689,1.16139175609728,0.249365147021523,0.654007328992727,0.804567134031205,0.253094558852937,0.242787181360765,0.249936927116657,0.254181332669641,0.455979407459827,0.00213404989410902,0.456041982666325,8.71380696295431e-07,0.00204751094121048,-67.1105874994331,0.0347697690608877,0.968779134386012,5.91383457641176,14.9996127477066
"9",8,-5646.76203292214,-5714.49867324865,-5646.76203292214,-67.7366403265068,-5646.76203292214,14.9996127477066,2.85427886570689,1.1627644139405,0.249365147021523,0.66506628092718,0.804567134031205,0.262580746047921,0.233300994165781,0.249936927116657,0.254181332669641,0.665309873560102,0.0337911827542864,0.662845477163133,0.000626551353593111,0.0375912196563224,-59.9463707468878,0.0556042161064165,0.95669055743232,5.91383457641176,14.9996127477066
"10",9,-5563.25310063998,-5637.30975106287,-5563.25310063998,-74.0566504228889,-5563.25310063998,14.9996127477066,2.85427886570689,1.1627644139405,0.249365147021523,0.66506628092718,0.715359661488677,0.262580746047921,0.233300994165781,0.240439465363556,0.263678794422742,1.08736576744563,0.048311889102658,1.09683910707795,0.00336475314722496,0.0528337794640079,-66.1843395708297,0.158045688109571,0.855605659091149,5.91383457641176,14.9996127477066
"11",10,-5557.82292896696,-5639.50298892941,-5557.82292896696,-81.6800599624495,-5557.82292896696,14.9996127477066,2.89702951057581,1.1627644139405,0.249365147021523,0.343149681296156,0.715359661488677,0.262580746047921,0.242787662278464,0.240439465363556,0.254192126310058,1.00849475454701,0.0443943937675702,1.01789500243898,0.00225841373653899,0.0466650530878111,-74.499367725034,0.304283381405092,0.547491850498216,5.91383457641176,14.9996127477066
"12",11,-5472.23460136119,-5553.36749424897,-5472.23460136119,-81.1328928877841,-5472.23460136119,14.9996127477066,2.89702951057581,1.1627644139405,0.249365147021523,0.343149681296156,0.715359661488677,0.262580746047921,0.240343395975554,0.242883731666466,0.254192126310058,0.533181479845346,0.218446246812893,0.574003256354885,0.0158020589997996,0.234939416986393,-72.7628345311089,0.357643786807515,0.534639453742627,5.91383457641176,14.9996127477066
"13",12,-5435.55406349306,-5524.70028110526,-5435.55406349306,-89.1462176122035,-5435.55406349306,14.9996127477066,2.89702951057581,1.1627644139405,0.124191103351476,0.343149681296156,0.715359661488677,0.262580746047921,0.236304706835091,0.235392123725947,0.265722423391041,0.620783384356818,0.0956210533862584,0.627443050398068,0.00424991542966547,0.103423767369942,-82.1528927343501,0.234994772839043,0.731744884058083,5.91383457641176,14.9996127477066
"14",13,-5406.54507199639,-5495.54773732725,-5406.54507199639,-89.0026653308593,-5406.54507199639,14.9996127477066,2.89702951057581,1.9773865712278,0.124191103351476,0.600435470906194,0.715359661488677,0.262580746047921,0.236304706835091,0.235392123725947,0.265722423391041,0.499665359566372,0.309443045112192,0.516559624507177,0.0295135929373323,0.338128895949544,-79.8063647369228,0.108822871230707,0.808489731388014,5.91383457641176,14.9996127477066
"15",14,-5364.96598176071,-5457.94952294269,-5364.96598176071,-92.9835411819824,-5364.96598176071,14.9996127477066,3.55902886245483,1.9773865712278,0.124191103351476,0.600435470906194,0.715359661488677,0.257923339385982,0.249220821271099,0.236384219087992,0.256471620254927,0.50994742625658,0.273965733325623,0.506808366102552,0.0189278275014762,0.2780407593688,-83.6744891704344,0.201869796234971,0.745334949917366,5.91383457641176,14.9996127477066
"16",15,-5345.18266989849,-5436.85461422853,-5345.18266989849,-91.6719443300353,-5345.18266989849,14.9996127477066,3.55902886245483,1.9773865712278,0.124191103351476,0.600435470906194,0.715359661488677,0.250121425098635,0.249220821271099,0.244186133375339,0.256471620254927,0.364956652125145,0.0542454986202138,0.361153699759746,0.000456262354288057,0.0591168078837151,-83.6838367740995,0.264213503933575,0.532938573584065,5.91383457641176,14.9996127477066
"17",16,-5288.70735891263,-5387.71831454185,-5288.70735891263,-99.0109556292252,-5288.70735891263,14.9996127477066,3.18843769515445,1.9773865712278,0.161973135471786,0.600435470906194,0.715359661488677,0.259007725189233,0.243236581559673,0.250170373086765,0.247585320164329,0.331612356687474,0.0872101043818682,0.329191542164415,0.000699965985713253,0.0802320444710515,-90.6033439341996,0.282454267078396,0.424006994668607,5.91383457641176,14.9996127477066
"18",17,-5160.91717897339,-5258.36409851299,-5160.91717897339,-97.446919539594,-5160.91717897339,14.9996127477066,1.9133472861623,1.9773865712278,0.161973135471786,0.600435470906194,0.715359661488677,0.259007725189233,0.243236581559673,0.250170373086765,0.247585320164329,0.228110355232172,0.121009445108673,0.226460743275487,0.00101916596067912,0.140156495774067,-89.4126534741083,0.290591030606984,0.158154140821467,5.91383457641176,14.9996127477066
"19",18,-5159.19096785833,-5259.26011613412,-5159.19096785833,-100.069148275791,-5159.19096785833,14.9996127477066,1.7719056649558,1.9773865712278,0.161973135471786,0.917555282407242,0.715359661488677,0.259007725189233,0.243236581559673,0.250170373086765,0.247585320164329,0.265408457664341,0.260512039446928,0.270179713516759,0.00542160998089581,0.280744800671944,-90.969106896197,0.337954147888755,0.146446140542709,5.91383457641176,14.9996127477066
