"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file596d3881af5d"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-1004.80005662763	-1091.76708889099	-1004.80005662763	-86.9670322633668	-1004.80005662763	14.9897597065136	0.82992801889316	1	1.21033007227768	0.444697105908192	1.71031322464237	0.25	0.253574435513818	0.25	0.246425564486182	-24.8555653180917	0.213390907642387	0.176309832018103	-46.4429885977265	14.9897597065136	1.20374127788859
"2"	1	-945.223244674305	-1026.72322888236	-945.223244674305	-81.4999842080567	-945.223244674305	14.9897597065136	0.912375247344259	0.764506684596944	1.21033007227768	0.356119452355929	1.71031322464237	0.25	0.253574435513818	0.248902267827006	0.247523296659176	-19.7770473027076	0.21595149387998	0.283841242265433	-46.4429885977265	14.9897597065136	1.82347905337783
"3"	2	-916.185980500612	-945.79192251199	-916.185980500612	-29.6059420113778	-916.185980500612	14.9998487628239	1.3671514764338	0.764506684596944	1.21033007227768	0.56573004833049	2.26270868899509	0.25	0.253574435513818	0.248902267827006	0.247523296659176	-19.0918842014665	0.118374310160044	0.300863993770235	5.97738040405906	14.9998487628239	4.48205896774482
"4"	3	-912.728122873561	-943.208628425222	-912.728122873561	-30.480505551661	-912.728122873561	14.9998487628239	0.815278927707953	0.764506684596944	1.21033007227768	0.532000695330033	1.9101135379119	0.25	0.253574435513818	0.248902267827006	0.247523296659176	-20.7707026321999	0.11760134250016	0.623753219994452	5.97738040405906	14.9998487628239	4.63067257192671
"5"	4	-912.562608226202	-938.141097177901	-912.562608226202	-25.5784889516993	-912.562608226202	14.9998487628239	1.46408284775268	0.388086916029801	1.21033007227768	0.532000695330033	1.9101135379119	0.255430844113452	0.238427979477125	0.265249646504395	0.240891529905028	-15.9105467142549	0.169401697456167	0.672029197900883	5.97738040405906	14.9998487628239	5.31171996575257
"6"	5	-912.092742017804	-947.091672795908	-912.092742017804	-34.9989307781034	-912.092742017804	14.9998487628239	1.46408284775268	0.413682439910093	4.63778282310035	0.532000695330033	1.86414391906818	0.255430844113452	0.230903161982582	0.265249646504395	0.24841634739957	-23.6778512005693	0.176185843486839	0.46699221615017	5.97738040405906	14.9998487628239	2.10133942644013
"7"	6	-863.832893225994	-894.547327414263	-863.832893225994	-30.7144341882686	-863.832893225994	14.9998487628239	1.46408284775268	0.413682439910093	4.63778282310035	0.657572649330532	1.86414391906818	0.257462444994806	0.228871561101228	0.268093620758749	0.245572373145216	-19.1794824832039	0.084315749883317	0.510437755586699	5.97738040405906	14.9998487628239	0.916227802527955
"8"	7	-843.726526154225	-872.753096557589	-843.726526154225	-29.026570403364	-843.726526154225	15.0015157510581	1.34376771222903	0.413682439910093	7.3593941129476	0.657572649330532	1.86414391906818	0.257462444994806	0.228871561101228	0.268093620758749	0.245572373145216	-15.7369846832047	0.0808488638312086	0.9321023334397	4.84006611073795	15.0015157510581	1.21426655517169
"9"	8	-819.888356749561	-850.168413074302	-819.888356749561	-30.2800563247407	-819.888356749561	15.0015157510581	0.686157224951458	0.228514600999233	7.3593941129476	0.657572649330532	1.86414391906818	0.25460524042023	0.231728765675805	0.268093620758749	0.245572373145216	-18.2678332244233	0.0884633957175558	0.574831989317675	4.84006611073795	15.0015157510581	0.367401640298365
"10"	9	-785.909068074932	-820.292976526569	-785.909068074932	-34.3839084516369	-785.909068074932	15.0015157510581	0.717574012818496	0.176375053455235	6.40304982490107	0.657572649330532	3.1899946436569	0.25460524042023	0.231728765675805	0.263668044533956	0.249997949370009	-22.1595937794722	0.0852074088040139	0.494933324562024	4.84006611073795	15.0015157510581	0.166804748823296
