"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file5b4f4b20c908"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-997.093059161317	-1084.06009142468	-997.093059161317	-86.9670322633668	-997.093059161317	14.9897597065136	0.82992801889316	1	1.21033007227768	0.444697105908192	1.71031322464237	0.25	0.253574435513818	0.25	0.246425564486182	-24.8555653180917	0.213390907642387	0.176309832018103	-46.4429885977265	14.9897597065136	1.20374127788859
"2"	1	-985.241222240662	-1066.70026242272	-985.241222240662	-81.459040182057	-985.241222240662	14.9897597065136	0.82992801889316	0.918609843878365	0.618739916982935	0.444697105908192	2.09770510898961	0.25	0.253574435513818	0.25	0.246425564486182	-19.8961678299192	0.20885413361596	0.166458347411176	-46.4429885977265	14.9897597065136	0.672837393828741
"3"	2	-972.339148350828	-1053.74761935501	-972.339148350828	-81.4084710041796	-972.339148350828	14.9897597065136	0.853537262375863	0.918609843878365	0.618739916982935	0.677247180344623	2.09770510898961	0.25	0.253574435513818	0.25	0.246425564486182	-19.3937242231589	0.141953494563836	0.217037724797817	-46.4429885977265	14.9897597065136	1.30317018427195
"4"	3	-922.636918807304	-960.996288588409	-922.636918807304	-38.3593697811059	-922.636918807304	15.0040222713725	0.853537262375863	1.59788695326553	1.04986714433441	0.636869071948543	2.69010862586013	0.25	0.253574435513818	0.25	0.246425564486182	-19.3487192952521	0.330396788334389	0.263799051110134	-2.10051675138373	15.0040222713725	3.59989163862271
"5"	4	-917.81818149598	-954.1475993899	-917.81818149598	-36.3294178939201	-917.81818149598	15.0040222713725	1.17892661074371	1.59788695326553	0.800045903808304	0.636869071948543	2.69010862586013	0.255430844113452	0.234056345890948	0.25971561192324	0.25079719807236	-17.2625509780689	0.15090776400329	0.661986014469461	-2.10051675138373	15.0040222713725	2.40045815462381
"6"	5	-913.376295507116	-947.392743881477	-913.376295507116	-34.0164483743605	-913.376295507116	15.0040222713725	1.17892661074371	2.79360211935285	1.96900405899168	0.636869071948543	5.00834262936654	0.255430844113452	0.234056345890948	0.268408922202557	0.242103887793043	-12.5643285957787	0.10574456469411	0.90917234424723	-2.10051675138373	15.0040222713725	3.62329502573759
"7"	6	-882.315426262029	-922.744462870673	-882.315426262029	-40.4290366086445	-882.315426262029	15.0040222713725	1.17892661074371	2.79360211935285	1.96900405899168	0.781426389831681	4.23725901103693	0.255430844113452	0.233773798142986	0.268691469950519	0.242103887793043	-19.0040694693533	0.191858804416419	0.613242830443556	-2.10051675138373	15.0040222713725	1.45378313152952
"8"	7	-881.457717040858	-922.440851458055	-881.457717040858	-40.9831344171961	-881.457717040858	15.0040222713725	0.826277230281991	2.59758658488971	1.96900405899168	0.781426389831681	4.23725901103693	0.255430844113452	0.233773798142986	0.268691469950519	0.242103887793043	-20.010002446466	0.235545228056895	0.598582045277987	-2.10051675138373	15.0040222713725	0.411560546934139
"9"	8	-859.771256435893	-904.812372569284	-859.771256435893	-45.0411161333914	-859.771256435893	15.0045932707007	0.826277230281991	2.59758658488971	1.7415829127229	0.781426389831681	4.23725901103693	0.255430844113452	0.227500221126671	0.268691469950519	0.248377464809357	-21.7475886787527	0.0839919833865205	0.476852776762531	-4.56025111931135	15.0045932707007	0.296026163246361
"10"	9	-815.034665300987	-859.231478436579	-815.034665300987	-44.1968131355921	-815.034665300987	15.0045932707007	0.607826456828717	2.59758658488971	2.36305674267446	0.666213551654273	3.89150827389208	0.255430844113452	0.227500221126671	0.264265893725727	0.25280304103415	-21.1432640634621	0.0534094675992943	0.404771519661713	-4.56025111931135	15.0045932707007	0.41937241469959
"11"	10	-812.847731207307	-855.341758217563	-812.847731207307	-42.4940270102566	-812.847731207307	15.0045932707007	1.20876248845552	2.06037079325353	1.76826365622942	1.13426457236505	12.9177413125107	0.25399355427609	0.227500221126671	0.266737251777904	0.251768972819335	-16.7144405835707	0.102567315247451	0.832847171851534	-4.56025111931135	15.0045932707007	0.335850459903774
"12"	11	-806.438183474604	-842.866619109101	-806.438183474604	-36.4284356344967	-806.438183474604	14.9996287216394	1.20876248845552	2.06037079325353	1.47448066034497	0.836695422297206	12.9177413125107	0.248656845664187	0.234935555594925	0.264638625921553	0.251768972819335	-21.6498017826301	0.116052028245103	0.649649323041703	5.91989293524207	14.9996287216394	0.188037488129221
"13"	12	-774.6523011163	-807.602772013632	-774.6523011163	-32.9504708973322	-774.6523011163	14.9996287216394	1.20876248845552	1.56760099660712	0.767537841770391	0.836695422297206	12.8069712058701	0.248656845664187	0.224993764258956	0.264638625921553	0.261710764155303	-19.1663304664507	0.0715904011906775	0.641218051728603	5.91989293524207	14.9996287216394	0.33193229670764
