"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file57894bee3cc8"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"47"	46	-721.601418401553	-739.760288224147	-721.601418401553	-18.1588698225936	-721.601418401553	14.9984655101266	-22.9703569826175	0.222651939279451	0.342594587393217	4.81148716002389	14.9984655101266	0.0738839859381974
"48"	47	-721.561203657762	-738.583009742879	-721.561203657762	-17.0218060851172	-721.561203657762	14.9984655101266	-21.8332932451411	0.0662629002792436	0.264427559647694	4.81148716002389	14.9984655101266	0.0735788119799997
"49"	48	-721.543809758885	-737.694458828181	-721.543809758885	-16.150649069296	-721.543809758885	14.9984655101266	-20.9621362293198	0.0576770966726034	0.678779255474513	4.81148716002389	14.9984655101266	0.0753799191544238
"50"	49	-721.518193265007	-738.072473472314	-721.518193265007	-16.5542802073079	-721.518193265007	14.9984655101266	-21.3657673673318	0.105399635661196	0.738542412872232	4.81148716002389	14.9984655101266	0.07551873756683
"51"	50	-721.50577848966	-737.750890894923	-721.50577848966	-16.245112405263	-721.50577848966	14.9984655101266	-21.0565995652869	0.120411238277343	0.370940435516874	4.81148716002389	14.9984655101266	0.0763851233023217
"52"	51	-721.494774133559	-737.884851079896	-721.494774133559	-16.3900769463371	-721.494774133559	14.9984655101266	-21.2015641063609	0.120915608354591	0.492002705630903	4.81148716002389	14.9984655101266	0.0755891147474537
"53"	52	-721.488361133713	-737.798647834164	-721.488361133713	-16.3102867004511	-721.488361133713	14.9984655101266	-21.121773860475	0.0793215246178648	0.445401400027707	4.81148716002389	14.9984655101266	0.0755891147474537
"54"	53	-721.488122686815	-738.101266519929	-721.488122686815	-16.6131438331137	-721.488122686815	14.9984655101266	-21.4246309931376	0.0296693906111568	0.778412637438891	4.81148716002389	14.9984655101266	0.0752962626338873
"55"	54	-721.485112423483	-737.592042576559	-721.485112423483	-16.1069301530769	-721.485112423483	14.9984655101266	-20.9184173131008	0.0382355507771237	0.883075484784471	4.81148716002389	14.9984655101266	0.0751468419836593
"56"	55	-721.483797991184	-737.909925866715	-721.483797991184	-16.4261278755304	-721.483797991184	14.9984655101266	-21.2376150355543	0.0149657491780813	0.911244112351023	4.81148716002389	14.9984655101266	0.0752335638354231
"57"	56	-721.479850883739	-737.691559496166	-721.479850883739	-16.2117086124272	-721.479850883739	14.9984655101266	-21.0231957724511	0.010292658100486	0.972702219559173	4.81148716002389	14.9984655101266	0.0752335638354231
"58"	57	-721.479462897612	-737.559410067555	-721.479462897612	-16.0799471699431	-721.479462897612	14.9984655101266	-20.891434329967	0.0335863542321185	0.876171653714701	4.81148716002389	14.9984655101266	0.0752335638354231
"59"	58	-721.478888272962	-738.189496712281	-721.478888272962	-16.7106084393197	-721.478888272962	14.9984655101266	-21.5220955993436	0.0253366220778956	0.80411639955133	4.81148716002389	14.9984655101266	0.0752335638354231
"60"	59	-721.478821411838	-737.7665839123	-721.478821411838	-16.2877625004617	-721.478821411838	14.9984655101266	-21.0992496604856	0.0264536544977098	0.851935611207424	4.81148716002389	14.9984655101266	0.0752335638354231
