"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file55a747a7e307"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-1157.88451909257	-1171.92907292934	-1157.88451909257	-14.0445538367651	-1157.88451909257	15.0002023589587	-20.0128960084691	0.267800774925214	0.347949780321459	5.96834217170393	15.0002023589587	1.81686062476882
"2"	1	-1101.2170915909	-1114.51500972371	-1101.2170915909	-13.2979181328048	-1101.2170915909	15.0002023589587	-19.2662603045087	0.0892588217031101	0.902091749127644	5.96834217170393	15.0002023589587	1.71762175810073
"3"	2	-1050.22004500617	-1066.29573447299	-1050.22004500617	-16.0756894668173	-1050.22004500617	15.0002023589587	-22.0440316385212	0.109773275034954	0.615721143548968	5.96834217170393	15.0002023589587	3.11541617188601
"4"	3	-1045.16562827391	-1059.09941287578	-1045.16562827391	-13.9337846018727	-1045.16562827391	15.0002023589587	-19.9021267735766	0.13927538473739	0.312147737647746	5.96834217170393	15.0002023589587	1.32289585167808
"5"	4	-1014.32310552198	-1030.27912812762	-1014.32310552198	-15.9560226056399	-1014.32310552198	15.0002023589587	-21.9243647773439	0.150624513127741	0.10560018893879	5.96834217170393	15.0002023589587	1.56613472944715
"6"	5	-1011.04450783566	-1027.51784557403	-1011.04450783566	-16.4733377383662	-1011.04450783566	15.0002023589587	-22.4416799100702	0.150331719700031	0.274910462988754	5.96834217170393	15.0002023589587	3.48098956505917
"7"	6	-994.720234279755	-1009.92109469947	-994.720234279755	-15.2008604197133	-994.720234279755	15.0002023589587	-21.1692025914172	0.279222003219624	0.238962140748739	5.96834217170393	15.0002023589587	1.7612021998722
"8"	7	-971.358199708445	-985.119913475628	-971.358199708445	-13.7617137671833	-971.358199708445	15.0002023589587	-19.7300559388872	0.150839753590718	0.176381457495376	5.96834217170393	15.0002023589587	0.2668627272481
"9"	8	-959.768175194784	-975.696036325785	-959.768175194784	-15.9278611310015	-959.768175194784	15.0002023589587	-21.8962033027054	0.064383293949031	0.205381205012487	5.96834217170393	15.0002023589587	0.878312558381885
"10"	9	-890.269919711946	-905.553844696594	-890.269919711946	-15.2839249846474	-890.269919711946	15.0002023589587	-21.2522671563513	0.0936782558391675	0.347853387371137	5.96834217170393	15.0002023589587	0.726572130263502
