"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file10e759ddc53e"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-7853.77147748499	-7934.60615167229	-7853.77147748499	-80.8346741872984	-7853.77147748499	15.0117303320561	-18.0231458599551	0.448104057706679	0.225698688047831	-62.8115283273433	15.0117303320561	0.900361464795516
"2"	1	-7616.45671018737	-7632.29111098245	-7616.45671018737	-15.8344007950807	-7616.45671018737	14.9967531190487	-16.5520995848943	0.343087124679161	0.080826790638674	0.71769878981361	14.9967531190487	0.22398893748315
"3"	2	-7482.13043692288	-7495.15004050653	-7482.13043692288	-13.0196035836549	-7482.13043692288	14.9967531190487	-13.7373023734685	0.146607984216071	0.0602999637578292	0.71769878981361	14.9967531190487	0.127027823434951
"4"	3	-6931.47151210224	-6945.33603418791	-6931.47151210224	-13.86452208567	-6931.47151210224	14.9967531190487	-14.5822208754836	0.0472288555912931	0.127052307256593	0.71769878981361	14.9967531190487	1.90057124541702
"5"	4	-6931.39073371151	-6944.37479402106	-6931.39073371151	-12.9840603095485	-6931.39073371151	14.9967531190487	-13.7017590993621	0.128087632827248	0.0194820125640158	0.71769878981361	14.9967531190487	5.68382469207602
"6"	5	-6931.3475085581	-6943.69869454947	-6931.3475085581	-12.3511859913674	-6931.3475085581	14.9967531190487	-13.068884781181	0.0784325117212994	0.0181654911020683	0.71769878981361	14.9967531190487	9.97441876418333
"7"	6	-6930.93001206948	-6943.2388497808	-6930.93001206948	-12.3088377113222	-6930.93001206948	14.9967531190487	-13.0265365011358	0.0709932071176987	0.0258889742554402	0.71769878981361	14.9967531190487	15.8224710471933
"8"	7	-6930.72821389397	-6943.54921126624	-6930.72821389397	-12.8209973722726	-6930.72821389397	14.9967531190487	-13.5386961620862	0.0857415696667696	0.0778672408378423	0.71769878981361	14.9967531190487	9.70874215353483
"9"	8	-6930.72560375062	-6944.76977198875	-6930.72560375062	-14.04416823813	-6930.72560375062	14.9967531190487	-14.7618670279436	0.211373296934106	0.22757356094389	0.71769878981361	14.9967531190487	10.4554428945794
"10"	9	-6930.7155538272	-6946.185260724	-6930.7155538272	-15.4697068968024	-6930.7155538272	14.9967531190487	-16.187405686616	0.204420710529604	0.375081794033767	0.71769878981361	14.9967531190487	9.90327490950991
"11"	10	-6930.71411587651	-6942.64889600361	-6930.71411587651	-11.934780127096	-6930.71411587651	14.9967531190487	-12.6524789169096	0.133031154695768	0.564299609999669	0.71769878981361	14.9967531190487	10.3638256287751
"12"	11	-6930.7140758784	-6943.02602310928	-6930.7140758784	-12.3119472308828	-6930.7140758784	14.9967531190487	-13.0296460206964	0.0268125510597101	0.749452391781241	0.71769878981361	14.9967531190487	10.5024788389956
"13"	12	-6930.71283647904	-6940.96499283668	-6930.71283647904	-10.252156357639	-6930.71283647904	14.9967531190487	-10.9698551474526	0.0189724069458899	0.92079007438677	0.71769878981361	14.9967531190487	10.1336295841538
"14"	13	-6930.71283014603	-6944.91838775432	-6930.71283014603	-14.2055576082818	-6930.71283014603	14.9967531190487	-14.9232563980954	0.0205979584593372	0.527750355912956	0.71769878981361	14.9967531190487	10.1336295841538
"15"	14	-6930.68438085576	-6942.10371075121	-6930.68438085576	-11.4193298954433	-6930.68438085576	14.9967531190487	-12.1370286852569	0.0578385091443657	0.726423675569113	0.71769878981361	14.9967531190487	9.65582162685704
"16"	15	-6930.67063085165	-6941.69163395152	-6930.67063085165	-11.0210030998713	-6930.67063085165	14.9967531190487	-11.7387018896849	0.129020495338353	0.587243697369961	0.71769878981361	14.9967531190487	10.0399450347796
"17"	16	-6930.66564959747	-6942.22927051112	-6930.66564959747	-11.5636209136517	-6930.66564959747	14.9967531190487	-12.2813197034653	0.219833994042047	0.743460505521383	0.71769878981361	14.9967531190487	10.6393729922367
"18"	17	-6930.64188070092	-6942.61635943248	-6930.64188070092	-11.9744787315583	-6930.64188070092	14.9967531190487	-12.6921775213719	0.219130585148899	0.590527523023716	0.71769878981361	14.9967531190487	9.81997336912236
"19"	18	-6930.62070732232	-6937.19198221363	-6930.62070732232	-6.57127489130881	-6930.62070732232	14.9983163740843	-11.1427935251205	0.0576209895688551	0.872168785419516	4.57151863381169	14.9983163740843	9.82448254041908
"20"	19	-6930.62002812484	-6938.6128175707	-6930.62002812484	-7.99278944586146	-6930.62002812484	14.9983163740843	-12.5643080796731	0.0278748240988049	0.717644015563226	4.57151863381169	14.9983163740843	9.78842136515981
"21"	20	-6930.61984787966	-6937.89872230445	-6930.61984787966	-7.27887442478884	-6930.61984787966	14.9983163740843	-11.8503930586005	0.0175366914144413	0.974959335730525	4.57151863381169	14.9983163740843	9.78842136515981
"22"	21	-6930.61955438739	-6938.32857155897	-6930.61955438739	-7.70901717157638	-6930.61955438739	14.9983163740843	-12.2805358053881	0.0505649549919498	0.491953560701496	4.57151863381169	14.9983163740843	9.76415609184159
"23"	22	-6930.61735791816	-6937.59952184304	-6930.61735791816	-6.98216392488164	-6930.61735791816	14.9983163740843	-11.5536825586933	0.125639332682124	0.52571204390569	4.57151863381169	14.9983163740843	9.71717975401901
"24"	23	-6930.61735791674	-6939.04835592331	-6930.61735791674	-8.43099800656167	-6930.61735791674	14.9983163740843	-13.0025166403734	0.0874463590586945	0.41436147803083	4.57151863381169	14.9983163740843	9.71717975401901
