"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file66a54de85737"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"14"	13	-5639.99345458031	-5716.29643461433	-5639.99345458031	-76.302980034026	-5639.99345458031	14.990913431478	-41.0089330268583	0.224482880475496	0.92636662151466	-35.2940470071677	14.990913431478	2.53501951083751
"15"	14	-5630.12214751024	-5719.87653571152	-5630.12214751024	-89.7543882012854	-5630.12214751024	14.990913431478	-54.4603411941177	0.129492905506021	0.930988431849693	-35.2940470071677	14.990913431478	2.21921015493629
"16"	15	-5619.69010014914	-5678.04070499148	-5619.69010014914	-58.3506048423334	-5619.69010014914	14.9950790433071	-52.2315142012054	0.114887240965175	0.914321848893822	-6.11909064112793	14.9950790433071	2.84792099162186
"17"	16	-5607.21623909521	-5680.64114732397	-5607.21623909521	-73.4249082287521	-5607.21623909521	14.9950790433071	-67.3058175876242	0.132381359465475	0.883090108430849	-6.11909064112793	14.9950790433071	2.53468353895191
"18"	17	-5595.9405312947	-5663.49365749798	-5595.9405312947	-67.5531262032765	-5595.9405312947	14.9950790433071	-61.4340355621486	0.273159453784699	0.833129322417085	-6.11909064112793	14.9950790433071	1.76311874343288
"19"	18	-5574.09381191994	-5635.48749200732	-5574.09381191994	-61.3936800873809	-5574.09381191994	14.9966421238378	-61.7448306726739	0.214479619146645	0.905932826003592	0.351150585292986	14.9966421238378	2.20080518225354
"20"	19	-5518.32533275238	-5565.75934946916	-5518.32533275238	-47.4340167167717	-5518.32533275238	14.9966421238378	-47.7851673020647	0.0520006258690427	0.974125181614879	0.351150585292986	14.9966421238378	1.6496009435288
"21"	20	-5515.79876820182	-5571.16522292275	-5515.79876820182	-55.366454720934	-5515.79876820182	14.9966421238378	-55.717605306227	0.0525820871381845	0.965644512913092	0.351150585292986	14.9966421238378	2.42275665440699
"22"	21	-5469.29748130978	-5554.75101922039	-5469.29748130978	-85.4535379106077	-5469.29748130978	14.9966421238378	-85.8046884959007	0.0233491126596332	0.973894330446078	0.351150585292986	14.9966421238378	1.76419670537828
"23"	22	-5460.28737305257	-5527.30061619668	-5460.28737305257	-67.0132431441079	-5460.28737305257	14.9966421238378	-67.3643937294009	0.0236186282667212	0.984087953859672	0.351150585292986	14.9966421238378	0.707722863564675
"24"	23	-5444.65416128888	-5497.52512329099	-5444.65416128888	-52.8709620021111	-5444.65416128888	14.9966421238378	-53.2221125874041	0.0258710594091366	0.984087953859672	0.351150585292986	14.9966421238378	2.04659966452906
"25"	24	-5417.76811049892	-5459.2275222747	-5417.76811049892	-41.4594117757804	-5417.76811049892	14.9966421238378	-41.8105623610734	0.0526903705865669	0.984087953859672	0.351150585292986	14.9966421238378	3.48791190151983
"26"	25	-5409.70156007231	-5461.70459598197	-5409.70156007231	-52.0030359096637	-5409.70156007231	14.9966421238378	-52.3541864949567	0.0428411490132133	0.978767346650325	0.351150585292986	14.9966421238378	2.08975960355476
"27"	26	-5373.70999279686	-5418.01418770955	-5373.70999279686	-44.3041949126901	-5373.70999279686	14.9966421238378	-44.6553454979831	0.0708709938769736	0.978767346650325	0.351150585292986	14.9966421238378	2.61108687415932
"28"	27	-5362.0049551111	-5389.08636813168	-5362.0049551111	-27.0814130205811	-5362.0049551111	14.9966421238378	-27.432563605874	0.0934903284800231	0.971004336012101	0.351150585292986	14.9966421238378	2.9029397121448
"29"	28	-5333.23133334657	-5367.44011325875	-5333.23133334657	-34.2087799121756	-5333.23133334657	14.9966421238378	-34.5599304974686	0.145222606113244	0.94109570161583	0.351150585292986	14.9966421238378	1.76154069240073
"30"	29	-5321.67239034415	-5344.15934715783	-5321.67239034415	-22.48695681368	-5321.67239034415	14.9966421238378	-22.838107398973	0.218761136010286	0.939092654134975	0.351150585292986	14.9966421238378	2.80049461027598
"31"	30	-5313.37535555106	-5336.55370559519	-5313.37535555106	-23.1783500441279	-5313.37535555106	14.9966421238378	-23.5295006294209	0.110572664053852	0.947339545501981	0.351150585292986	14.9966421238378	1.62675185474533
"32"	31	-5291.79633646015	-5315.24244409579	-5291.79633646015	-23.4461076356356	-5291.79633646015	14.9966421238378	-23.7972582209286	0.171026172115004	0.957021848949811	0.351150585292986	14.9966421238378	1.48100215661092
"33"	32	-5273.03437647946	-5303.10165174684	-5273.03437647946	-30.0672752673857	-5273.03437647946	14.9966421238378	-30.4184258526787	0.112252914646396	0.962954853551001	0.351150585292986	14.9966421238378	1.65333940997614
"34"	33	-5272.17810081155	-5294.54868308906	-5272.17810081155	-22.3705822775137	-5272.17810081155	14.9966421238378	-22.7217328628067	0.14989809679548	0.945854951495088	0.351150585292986	14.9966421238378	1.93748141309678
"35"	34	-5242.74347769284	-5265.49017696681	-5242.74347769284	-22.7466992739641	-5242.74347769284	14.9966421238378	-23.0978498592571	0.117913144437563	0.957978790093205	0.351150585292986	14.9966421238378	2.8532161715453
"36"	35	-5227.82365738288	-5250.18348011592	-5227.82365738288	-22.3598227330335	-5227.82365738288	14.9966421238378	-22.7109733183264	0.257422229941906	0.940342586010388	0.351150585292986	14.9966421238378	1.88313826204377
"37"	36	-5220.28248734829	-5242.31868836182	-5220.28248734829	-22.0362010135312	-5220.28248734829	14.9966421238378	-22.3873515988242	0.319753953731321	0.880684293269694	0.351150585292986	14.9966421238378	1.84088720216201
"38"	37	-5149.44619822608	-5165.64677251468	-5149.44619822608	-16.2005742886053	-5149.44619822608	14.9966421238378	-16.5517248738983	0.300763286505265	0.927805800140351	0.351150585292986	14.9966421238378	1.85589819121376
"39"	38	-5138.12721692267	-5151.17943420071	-5138.12721692267	-13.0522172780479	-5138.12721692267	14.9966421238378	-13.4033678633409	0.404621599974028	0.913410939686876	0.351150585292986	14.9966421238378	2.49644395845086
"40"	39	-5098.5411214779	-5116.7987271622	-5098.5411214779	-18.2576056842952	-5098.5411214779	14.9966421238378	-18.6087562695882	0.212054013968659	0.948052930413813	0.351150585292986	14.9966421238378	1.83038581637819
"41"	40	-5097.54268992293	-5120.18021854525	-5097.54268992293	-22.6375286223207	-5097.54268992293	14.9966421238378	-22.9886792076137	0.124745023373072	0.96681102411489	0.351150585292986	14.9966421238378	2.09829393342367
"42"	41	-5083.12419225148	-5124.92983584262	-5083.12419225148	-41.8056435911425	-5083.12419225148	14.9966421238378	-42.1567941764354	0.111907082579568	0.968260711340916	0.351150585292986	14.9966421238378	2.22671542829809
