"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file4e1d1e81bede"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"1"	0	-1178.31500832286	-1245.51346252682	-1178.31500832286	-67.1984542039603	-1178.31500832286	15.0085513113985	1	1	1	0.846878662497287	1	0.25	0.25	0.25	0.25	0.417416157821325	0.248016156712624	0.376365277540349	0.00993778230314551	0.244131757733874	-20.9069016869299	0.263930290376495	0.175855828201137	-30.5736465714521	15.0085513113985
"2"	1	-1129.37459237604	-1200.66083852413	-1129.37459237604	-71.2862461480983	-1129.37459237604	15.0085513113985	0.998732726019911	1	1	0.846878662497287	2.56076758371454	0.240624804485527	0.251763377897313	0.265991984605244	0.241619833011916	0.432546125788874	0.166290200802382	0.393194535074331	0.00548042376784753	0.174749470356825	-24.3447041316248	0.21283341899416	0.699050376426218	-30.5736465714521	15.0085513113985
"3"	2	-1123.27814695086	-1188.31391894265	-1123.27814695086	-65.0357719917913	-1123.27814695086	15.0085513113985	0.998732726019911	0.864668464264063	1	0.846878662497287	0.814204799062502	0.240624804485527	0.251763377897313	0.265991984605244	0.241619833011916	0.214582265441992	0.084425054831167	0.210676708216421	0.000233446396615508	0.0710428414965364	-20.0288036189365	0.263366327872558	0.409968293811947	-30.5736465714521	15.0085513113985
"4"	3	-1026.8097866154	-1061.83332217448	-1026.8097866154	-35.0235355590829	-1026.8097866154	14.9974787969265	0.501911287463116	0.672847368660261	0.813517492246057	0.846878662497287	0.814204799062502	0.240624804485527	0.251763377897313	0.265991984605244	0.241619833011916	0.102604286289942	0.237862021205641	0.107310054035111	0.000748280200637052	0.259180703480265	-23.6880676583221	0.181592622039076	0.498922043049089	2.81058427697872	14.9974787969265
"5"	4	-984.170523286518	-1019.103446012	-984.170523286518	-34.9329227254857	-984.170523286518	14.9974787969265	0.501911287463116	0.710176633896165	0.813517492246057	0.846878662497287	0.7839172623369	0.240624804485527	0.260240529712962	0.265991984605244	0.233142681196267	0.172409713177536	0.119720488073712	0.164590387568043	0.000567618652904822	0.13624992978724	-24.2087655786388	0.250134511542548	0.213382447185671	2.81058427697872	14.9974787969265
"6"	5	-939.20568058991	-973.008882202334	-939.20568058991	-33.8032016124241	-939.20568058991	14.9974787969265	0.501911287463116	1.03531127831904	0.813517492246057	0.846878662497287	0.7839172623369	0.240624804485527	0.260240529712962	0.265991984605244	0.233142681196267	0.0668230794782197	0.0906934523286293	0.0644450518274194	3.59689611756727e-05	0.0883319729067006	-22.90853951028	0.06116709260816	0.429835476413641	2.81058427697872	14.9974787969265
"7"	6	-915.223711132029	-951.057577454349	-915.223711132029	-35.8338663223197	-915.223711132029	14.9974787969265	0.516360145190074	1.39201617907778	1.30443672815386	0.572642533459824	0.512902364783828	0.240624804485527	0.256411801408326	0.2657789839537	0.237184410152447	0.0414012561086477	0.625576414451882	0.0435542586028831	0.000996235405358792	0.602183156889007	-22.6536306395766	0.066772506851182	0.267779710203777	2.81058427697872	14.9974787969265
"8"	7	-842.04710004076	-877.850778709259	-842.04710004076	-35.8036786684984	-842.04710004076	14.9974787969265	0.516360145190074	0.721961167174615	1.30443672815386	0.377017671569129	0.512902364783828	0.242892813519428	0.256411801408326	0.2657789839537	0.234916401118546	0.0689045798307032	0.601234033606608	0.0571426391527494	0.00189318188994958	0.737739387530621	-23.779302722279	0.147649399543923	0.118483672983596	2.81058427697872	14.9974787969265
"9"	8	-828.410846631474	-864.352907412652	-828.410846631474	-35.9420607811775	-828.410846631474	14.9974787969265	0.27016818654493	0.721961167174615	2.30668105167742	0.456998648409158	0.512902364783828	0.236681569935698	0.256411801408326	0.269164364457651	0.237742264198325	0.10176632605173	0.85464237294955	0.0849822525168566	0.00793348724038211	0.868723662776091	-22.8996794159385	0.0720071387476183	0.28185043432247	2.81058427697872	14.9974787969265
"10"	9	-813.046909482332	-840.985629085476	-813.046909482332	-27.9387196031437	-813.046909482332	14.9980495472335	0.27016818654493	0.721961167174615	2.30668105167742	0.367332122460452	0.335173560586375	0.236681569935698	0.256411801408326	0.269164364457651	0.237742264198325	0.294504624284503	0.376172637605941	0.299241255445055	0.0113558137405036	0.373807074580733	-18.4415226036969	0.0615925522307728	0.796279956741074	4.08668374869256	14.9980495472335
"11"	10	-792.257349087738	-822.443185865609	-792.257349087738	-30.1858367778712	-792.257349087738	14.9980495472335	0.27016818654493	0.721961167174615	2.30668105167742	0.566068473430991	0.335173560586375	0.236681569935698	0.256411801408326	0.269164364457651	0.237742264198325	0.19756341212049	0.476878465450911	0.138408556996258	0.00988144622825336	0.595261191403021	-19.8850299892562	0.0544488187623532	0.646393870014367	4.08668374869256	14.9980495472335
