"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file500174aa0b6"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"1"	0	-1201.20759204015	-1268.40604624411	-1201.20759204015	-67.1984542039603	-1201.20759204015	15.0085513113985	1	1	1	0.846878662497287	1	0.25	0.25	0.25	0.25	0.417416157821325	0.248016156712624	0.376365277540349	0.00993778230314551	0.244131757733874	-20.9069016869299	0.263930290376495	0.175855828201137	-30.5736465714521	15.0085513113985
"2"	1	-1191.62401017858	-1261.24830657579	-1191.62401017858	-69.624296397208	-1191.62401017858	15.0085513113985	1	0.777135257160877	1	0.846878662497287	1.30023932440644	0.240624804485527	0.25	0.265991984605244	0.243383210909229	0.816271218058604	0.168307171281233	0.737794051652113	0.0128859735516837	0.152184856030789	-23.6911915313673	0.180848735734543	0.391751809664776	-30.5736465714521	15.0085513113985
"3"	2	-1047.87935020418	-1082.26330510708	-1047.87935020418	-34.3839549028949	-1047.87935020418	15.0028445940485	1.01354762111081	0.777135257160877	0.682816810436833	0.846878662497287	0.413415533918099	0.240624804485527	0.255579990477519	0.260411994127725	0.243383210909229	0.541848917355721	0.313782957213437	0.521347587926133	0.0172869006152521	0.26157813007139	-21.8570133915297	0.109520796122059	0.237095399896596	1.9429590953745	15.0028445940485
"4"	3	-997.172242926992	-1031.33554528963	-997.172242926992	-34.1633023626425	-997.172242926992	15.0028445940485	0.509356485637744	0.777135257160877	0.682816810436833	0.846878662497287	0.413415533918099	0.240624804485527	0.255579990477519	0.260411994127725	0.243383210909229	0.186982457554299	0.288692781239211	0.178330865601464	0.00337264806979207	0.315102889026104	-22.4445078974211	0.0371093854532377	0.711672817663971	1.9429590953745	15.0028445940485
"5"	4	-978.113870816648	-1008.42143965117	-978.113870816648	-30.3075688345198	-978.113870816648	15.0028445940485	0.509356485637744	0.60783510751907	0.682816810436833	0.846878662497287	0.413415533918099	0.240624804485527	0.264057142293168	0.260411994127725	0.23490605909358	0.477041089617237	0.31087848531374	0.499737983531924	0.0101366552917863	0.231465278363286	-18.738484072163	0.0237161635842463	0.909810461813409	1.9429590953745	15.0028445940485
"6"	5	-949.390596007275	-986.92713719829	-949.390596007275	-37.5365411910152	-949.390596007275	15.0028445940485	0.509356485637744	0.60783510751907	0.694298331805022	1.18446391149101	0.435297485731768	0.240624804485527	0.264057142293168	0.260411994127725	0.23490605909358	0.206408182102244	1.27478680658139	0.0851350878226605	0.0971966638444382	1.45875402893674	-22.3731426654643	0.0129204891694989	0.894196116743007	1.9429590953745	15.0028445940485
"7"	6	-890.457171530865	-918.706326317027	-890.457171530865	-28.2491547861612	-890.457171530865	15.0028445940485	0.384352993542473	0.60783510751907	0.694298331805022	0.80091097474087	0.435297485731768	0.240624804485527	0.264057142293168	0.260411994127725	0.23490605909358	0.204351599823189	0.682373229924284	0.187544464634079	0.0179562971352964	0.622492040104714	-15.6148076668487	0.0212666755991192	0.953224976810559	1.9429590953745	15.0028445940485
"8"	7	-853.816607487727	-886.843272328416	-853.816607487727	-33.0266648406891	-853.816607487727	15.0028445940485	0.384352993542473	0.720053805795849	0.694298331805022	0.80091097474087	0.467341775335957	0.23988719094621	0.267062764866385	0.260411994127725	0.232638050059679	0.200805537496928	0.689441198626049	0.155187727384807	0.00751745407293798	0.572508465199207	-20.1318199216693	0.0338180203757499	0.797336408631688	1.9429590953745	15.0028445940485
"9"	8	-824.959052964916	-856.330556926909	-824.959052964916	-31.3715039619925	-824.959052964916	15.0028445940485	0.384352993542473	0.720053805795849	1.22775200331295	0.668019182075265	0.467341775335957	0.23988719094621	0.267062764866385	0.260411994127725	0.232638050059679	0.279889012485625	0.300664285256933	0.225251924468014	0.00914535615599886	0.341380917370263	-19.4675147697216	0.0165134001221991	0.961225103652416	1.9429590953745	15.0028445940485
"10"	9	-789.366813512727	-818.775314823677	-789.366813512727	-29.4085013109503	-789.366813512727	15.0028445940485	0.384352993542473	0.720053805795849	1.22775200331295	0.668019182075265	0.467341775335957	0.243160088435484	0.269342820287983	0.254859041216854	0.232638050059679	0.20811589474712	0.0192984381950385	0.204130668050913	2.49076151553932e-05	0.0240570482238452	-19.5055094477738	0.021612688838449	0.957671788631139	1.9429590953745	15.0028445940485
